#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               316           0.95328          0.909128         0.0106357
               317           0.99684          0.909405         0.0106058
               318            0.9038          0.909387         0.0105724
               319            0.9238          0.909432         0.0105394
               320           0.82668          0.909173         0.0105096
               321           0.98072          0.909396         0.0104793
               322           0.83616          0.909169         0.0104492
               323           0.99948          0.909449         0.0104206
               324            0.9966          0.909718         0.0103919
               325           0.99304          0.909974         0.0103631
               326           0.96376          0.910139         0.0103326
               327            0.9962          0.910402         0.0103043
               328           0.86396           0.91026         0.0102739
               329           0.88024          0.910169         0.0102431
               330           0.96908          0.910348         0.0102136
               331           0.89992          0.910316         0.0101828
               332            0.9976          0.910579         0.0101555
               333           0.98464          0.910802         0.0101274
               334           0.77412          0.910392         0.0101054
               335           0.92704          0.910442         0.0100753
               336            0.8156           0.91016         0.0100493
               337           0.27768          0.908283         0.0101932
               338             0.983          0.908504         0.0101655
               339           0.92968          0.908566         0.0101357
               340           0.97196          0.908753         0.0101076
               341           0.74756           0.90828          0.010089
               342           0.87164          0.908173         0.0100601
               343           0.99392          0.908423         0.0100338
               344           0.98616          0.908649         0.0100072
               345           0.99624          0.908903        0.00998143
               346           0.99068          0.909139        0.00995538
               347           0.99408          0.909384         0.0099297
               348           0.98592          0.909604         0.0099036
               349           0.87416          0.909502        0.00987574
               350           0.93464          0.909574        0.00984779
               351           0.99532          0.909819        0.00982276
               352           0.94932          0.909931         0.0097955
               353            0.7748          0.909548        0.00977523
               354           0.70404          0.908967        0.00976483
               355          -0.22368          0.905777         0.0102453
               356           0.98116          0.905989         0.0102187
               357          -0.06684          0.903264         0.0105472
               358           0.57312          0.902341          0.010558
               359            0.7876          0.902022         0.0105334
               360            0.9992          0.902292         0.0105076
               361           0.99124          0.902538         0.0104814
               362           0.91964          0.902585         0.0104525
               363            0.7812          0.902251         0.0104291
               364           0.98828          0.902487         0.0104031
               365            0.9866          0.902718         0.0103772
               366            0.8892          0.902681         0.0103489
               367           0.99932          0.902944          0.010324
               368           0.99748          0.903201         0.0102992
               369           0.83496          0.903016         0.0102729
               370            0.8588          0.902897         0.0102458
               371           0.47296          0.901738         0.0102835
               372           0.32212           0.90018         0.0103733
               373           0.98432          0.900405         0.0103479
               374            0.9712          0.900595          0.010322
               375             0.995          0.900846         0.0102975
               376           0.99396          0.901094         0.0102731
               377           0.93684          0.901189         0.0102463
               378           0.90564          0.901201         0.0102192
               379            0.9966          0.901452         0.0101953
               380           0.98404           0.90167         0.0101708
               381           0.87388          0.901597         0.0101444
               382           0.93452          0.901683         0.0101182
               383           0.98416          0.901898         0.0100941
               384           0.97692          0.902094         0.0100697
               385           0.97668          0.902287         0.0100454
               386           0.34148          0.900834         0.0101239
               387           0.96952          0.901012         0.0100993
               388           0.99868          0.901264         0.0100764
               389           0.92432          0.901323         0.0100507
               390           0.98956          0.901549         0.0100274
               391           0.80144          0.901293          0.010005
               392           0.97244          0.901475        0.00998117
               393           0.85688          0.901361        0.00995642
               394           0.62844          0.900668        0.00995522
               395           0.95568          0.900808        0.00993099
               396            0.9776          0.901002         0.0099078
               397           0.99736          0.901244        0.00988582
               398           0.94312           0.90135        0.00986154
               399           0.98712          0.901565        0.00983917
               400           0.98932          0.901784        0.00981701
               401           0.95648           0.90192        0.00979348
               402           0.93024          0.901991        0.00976937
               403           0.98552          0.902198        0.00974733
               404           0.96692          0.902358        0.00972452
               405           0.95772          0.902495        0.00970147
               406            0.5862          0.901716         0.0097088
               407           0.86204          0.901618        0.00968544
               408           0.99932          0.901858        0.00966466
               409           0.94476          0.901963         0.0096416
               410           0.91756          0.902001        0.00961816
               411           0.95176          0.902122        0.00959552
               412           0.92344          0.902174        0.00957236
               413           0.99376          0.902395        0.00955176
               414            0.9982          0.902627        0.00953149
               415           0.99128           0.90284        0.00951091
               416           0.72388           0.90241        0.00949777
               417           0.99776          0.902639        0.00947775
               418             0.987          0.902841        0.00945722
               419           0.99912           0.90307        0.00943744
               420           0.99388          0.903287        0.00941745
               421           0.97628           0.90346        0.00939668
               422            0.9936          0.903674        0.00937684
               423           0.99116           0.90388        0.00935695
               424            0.9052          0.903884        0.00933488
               425           0.95416          0.904002        0.00931367
               426           0.99572          0.904217        0.00929429
               427           0.98964          0.904417        0.00927468
               428           0.99412          0.904627        0.00925538
               429           0.98396          0.904812        0.00923565
               430           0.98804          0.905005         0.0092162
               431           0.98928          0.905201        0.00919689
               432           0.99552           0.90541        0.00917798
               433           0.70852          0.904955        0.00916804
               434           0.71812          0.904525        0.00915702
               435            0.6192          0.903869        0.00915943
               436           0.74628          0.903507        0.00914555
               437           0.96768          0.903654         0.0091258
               438           0.96324           0.90379        0.00910598
               439            0.9876          0.903981        0.00908724
               440           0.83104          0.903815         0.0090681
               441           0.97288          0.903972        0.00904888
               442           0.88076          0.903919        0.00902856
               443           0.99152          0.904117        0.00901035
               444               0.7          0.903657        0.00900178
               445           0.48896          0.902726        0.00902966
               446           0.81144          0.902521        0.00901173
               447            0.9754          0.902684        0.00899304
               448           0.99396          0.902888        0.00897528
               449           0.93296          0.902955        0.00895554
               450           0.98968          0.903147        0.00893771
               451            0.9876          0.903335        0.00891985
               452           0.99376          0.903535        0.00890236
               453           0.99896          0.903745         0.0088852
               454           0.99548          0.903947        0.00886793
               455            0.9758          0.904105        0.00884985
               456             0.985          0.904283        0.00883222
               457            0.9946           0.90448         0.0088151
               458           0.99408          0.904676        0.00879802
               459           0.93168          0.904735        0.00877905
               460            0.9338          0.904798         0.0087602
               461           0.86216          0.904706        0.00874168
               462           0.98584          0.904881        0.00872452
               463           0.99436          0.905074        0.00870782
               464           0.96884          0.905212        0.00869014
               465           0.85524          0.905104        0.00867211
               466           0.93356          0.905165        0.00865372
               467           0.99076          0.905349        0.00863713
               468            0.9144          0.905368         0.0086187
               469           0.98784          0.905544        0.00860211
               470            0.9742           0.90569        0.00858505
               471            0.4994          0.904827        0.00861005
               472           0.99492          0.905018        0.00859392
               473             0.634          0.904445        0.00859484
               474           0.96684          0.904577        0.00857771
               475            0.9656          0.904705        0.00856061
               476           0.93848          0.904776        0.00854292
               477           0.98268           0.90494        0.00852657
               478           0.99776          0.905134        0.00851095
               479           0.82896          0.904975        0.00849467
               480          -0.32048          0.902422        0.00885231
               481           0.95412          0.902529        0.00883456
               482           0.99836          0.902728        0.00881847
               483             0.895          0.902712        0.00880022
               484           0.66316          0.902217        0.00879595
               485           0.88108          0.902174        0.00877792
               486           0.99428          0.902363         0.0087619
               487           0.99724          0.902558        0.00874608
               488           0.99948          0.902756        0.00873041
               489           0.98264           0.90292        0.00871408
               490            0.9988          0.903116         0.0086985
               491           0.99252          0.903298        0.00868269
               492           0.99568          0.903485        0.00866707
               493           0.94188          0.903563        0.00864984
               494           0.95532          0.903668        0.00863296
               495           0.97808          0.903818        0.00861683
               496           0.99768          0.904008        0.00860154
               497            0.8902           0.90398        0.00858428
               498            0.9666          0.904106        0.00856796
               499           0.94852          0.904195        0.00855125
               500           0.96972          0.904326        0.00853515
               501           0.99792          0.904512        0.00852016
               502           0.98444          0.904672        0.00850468
               503           0.93752          0.904737        0.00848802
               504           0.99696           0.90492        0.00847315
               505           0.99868          0.905106         0.0084584
               506            0.9498          0.905194        0.00844215
               507           0.95684          0.905296        0.00842611
               508             0.993          0.905468        0.00841129
               509           0.92572          0.905508        0.00839486
               510           0.75528          0.905214        0.00838357
               511           0.95732          0.905316        0.00836778
               512           0.83624          0.905181        0.00835253
               513            0.3468          0.904092        0.00840687
               514           0.70468          0.903704        0.00839946
               515           0.95404          0.903802        0.00838372
               516           0.99248          0.903974        0.00836923
               517           0.99504           0.90415         0.0083549
               518           0.99168          0.904319        0.00834048
               519            0.7432          0.904009        0.00833018
               520           0.99068          0.904175        0.00831583
               521           0.95404          0.904271        0.00830042
               522            0.9292          0.904319        0.00828466
               523           0.98436          0.904472        0.00827023
               524            0.9398          0.904539        0.00825472
               525           0.98244          0.904688        0.00824033
               526           0.99472          0.904859        0.00822644
               527            0.9666          0.904976        0.00821167
               528           0.99708           0.90515        0.00819797
               529           0.98812          0.905307        0.00818397
               530           0.99744          0.905481        0.00817037
               531          -0.39716          0.903028        0.00851532
               532          -0.66548          0.900079        0.00899525
               533           0.66284          0.899634        0.00898938
               534           0.96268          0.899752        0.00897332
               535          -0.73136          0.896704        0.00946032
               536           0.88956           0.89669        0.00944268
               537           0.95668          0.896802        0.00942575
               538           0.99232           0.89698        0.00940991
               539           0.97968          0.897133         0.0093937
               540            0.9346          0.897202        0.00937656
               541           0.99856           0.89739         0.0093611
               542           0.99124          0.897563        0.00934543
               543            0.9978          0.897747        0.00933004
               544           0.98432          0.897907        0.00931425
               545            0.9764          0.898051        0.00929827
               546           0.98064          0.898202        0.00928247
               547           0.84776           0.89811        0.00926596
               548           0.99616          0.898289        0.00925078
               549              0.94          0.898365        0.00923424
               550           0.97656          0.898507        0.00921854
               551           0.95812          0.898615        0.00920245
               552            0.9848          0.898771         0.0091871
               553           0.98456          0.898926         0.0091718
               554           0.98424           0.89908        0.00915654
               555           0.88224           0.89905        0.00914009
               556           0.94156          0.899126        0.00912397
               557            0.9494          0.899217        0.00910803
               558           0.99596           0.89939        0.00909336
               559           0.83772           0.89928        0.00907776
               560           0.99892          0.899458         0.0090633
               561           0.99836          0.899634        0.00904886
               562            0.9986           0.89981        0.00903447
               563           0.99796          0.899984         0.0090201
               564           0.94428          0.900063        0.00900445
               565           0.96212          0.900173        0.00898918
               566           0.95928          0.900277        0.00897391
               567            0.9936          0.900442        0.00895959
               568           0.97308           0.90057        0.00894473
               569            0.9216          0.900607        0.00892909
               570           0.86316          0.900541        0.00891366
               571           0.99916          0.900714        0.00889972
               572            0.9394          0.900781        0.00888442
               573           0.99348          0.900943        0.00887039
               574           0.89592          0.900934        0.00885494
               575           0.99792          0.901103        0.00884115
               576           0.98664          0.901251        0.00882705
               577           0.98736          0.901401        0.00881301
               578           0.99456          0.901562        0.00879924
               579            0.8946           0.90155        0.00878405
               580           0.61208          0.901051        0.00878307
               581           0.99848          0.901218        0.00876955
               582           0.97796           0.90135        0.00875547
               583            0.4164          0.900518        0.00877988
               584           0.96828          0.900634        0.00876561
               585           0.91156          0.900653        0.00875065
               586            0.8492          0.900565        0.00873616
               587           0.95072          0.900651        0.00872169
               588           0.98748          0.900798        0.00870811
               589           0.89164          0.900783        0.00869334
               590           0.89884           0.90078        0.00867861
               591           0.85512          0.900702        0.00866426
               592           0.84632           0.90061        0.00865012
               593           0.97184          0.900731        0.00863636
               594           0.99328          0.900886        0.00862323
               595           0.99744          0.901049        0.00861026
               596           0.99204          0.901201        0.00859717
               597            0.8504          0.901116        0.00858319
               598            0.9844          0.901256        0.00856997
               599           0.99848          0.901418         0.0085572
               600           0.90152          0.901418        0.00854293
               601           0.98044          0.901549        0.00852973
               602            0.7504          0.901298        0.00851926
               603            0.8796          0.901262        0.00850521
               604           0.92884          0.901308        0.00849125
               605            0.9562          0.901399         0.0084777
               606           0.86804          0.901344        0.00846389
               607           0.99792          0.901503        0.00845144
               608           0.14404          0.900257        0.00852887
               609           0.58452          0.899739         0.0085306
               610            0.9816          0.899873        0.00851768
               611           0.90088          0.899874        0.00850373
               612           0.99696          0.900033        0.00849132
               613           0.91252          0.900053        0.00847749
               614           0.05144          0.898671        0.00857561
               615           0.92776          0.898719         0.0085618
               616           0.99428          0.898874         0.0085493
               617           0.97992          0.899005        0.00853645
               618           0.86376          0.898948        0.00852283
               619           0.74084          0.898693        0.00851289
               620            0.8104           0.89855        0.00850035
               621           0.94976          0.898633        0.00848706
               622           0.88552          0.898612        0.00847344
               623           0.90512          0.898622        0.00845985
               624           0.99856          0.898782        0.00844781
               625           0.99564          0.898937        0.00843571
               626           0.90328          0.898944        0.00842224
               627           0.99768          0.899102        0.00841028
               628           0.94896          0.899181        0.00839726
               629           0.82192          0.899058        0.00838481
               630           0.60624          0.898593        0.00838437
               631           0.90964          0.898611         0.0083711
               632           0.84848          0.898532        0.00835823
               633            0.9978          0.898688         0.0083465
               634           0.97592           0.89881        0.00833422
               635           0.83168          0.898705        0.00832177
               636           0.94908          0.898784        0.00830906
               637            0.8912          0.898772        0.00829603
               638           0.97944          0.898898        0.00828399
               639           0.98284           0.89903        0.00827207
               640            0.9654          0.899133        0.00825979
               641           0.98984          0.899275        0.00824812
               642           0.98748          0.899412        0.00823641
               643           0.93656           0.89947        0.00822381
               644           0.99716          0.899622        0.00821244
               645             0.989           0.89976        0.00820087
               646           0.50192          0.899144        0.00821127
               647           0.99784          0.899297        0.00819999
               648           0.81788          0.899171         0.0081883
               649           0.99628          0.899321        0.00817705
               650           0.86328          0.899265        0.00816466
               651           0.85228          0.899193        0.00815244
               652           0.99936          0.899347        0.00814138
               653           0.93964          0.899409        0.00812915
               654             0.712          0.899122        0.00812177
               655           0.99052          0.899262        0.00811057
               656           0.98904          0.899398        0.00809936
               657            0.9722          0.899509        0.00808779
               658           0.96024          0.899602        0.00807602
               659             0.997          0.899749        0.00806512
               660            0.9612          0.899842        0.00805344
               661           0.99856          0.899992        0.00804264
               662             0.939          0.900051         0.0080307
               663            0.9862          0.900181        0.00801964
               664           0.76792          0.899982        0.00801004
               665          -0.95528          0.897192        0.00846992
               666           -0.9988          0.894345        0.00892281
               667          -0.13848          0.892796         0.0090428
               668           0.64696          0.892428        0.00903674
               669           0.95688          0.892525        0.00902375
               670            0.9628           0.89263        0.00901089
               671           0.99708          0.892785        0.00899881
               672           0.98408          0.892921        0.00898644
               673            0.5724          0.892445         0.0089857
               674           0.98724          0.892585        0.00897347
               675           0.98168          0.892717        0.00896115
               676           0.99004          0.892861        0.00894905
               677           0.95896          0.892959        0.00893636
               678           0.98344          0.893093        0.00892418
               679           0.99712          0.893246        0.00891235
               680           0.95708           0.89334        0.00889974
               681           0.99464          0.893488        0.00888791
               682           0.99616          0.893639        0.00887615
               683           0.89624          0.893643        0.00886316
               684           0.78608          0.893485        0.00885159
               685           0.99888          0.893639        0.00884001
               686           0.97548          0.893759        0.00882793
               687           0.97336          0.893874        0.00881584
               688           0.99244          0.894018        0.00880419
               689           0.92844          0.894068        0.00879155
               690           0.99492          0.894214        0.00878003
               691           0.99564          0.894361        0.00876855
               692           0.98796          0.894496        0.00875692
               693             0.987          0.894629         0.0087453
               694           0.95388          0.894715        0.00873312
               695           0.93116          0.894767        0.00872071
               696           0.92932          0.894817        0.00870832
               697            0.9558          0.894904        0.00869626
               698            0.9902          0.895041        0.00868488
               699            0.9912          0.895178        0.00867354
               700           0.96524          0.895279        0.00866173
               701            0.9684          0.895383           0.00865
               702           0.54004          0.894877        0.00865248
               703           0.92548           0.89492        0.00864028
               704            0.9958          0.895063        0.00862919
               705           0.76168          0.894874        0.00861903
               706          -0.66724          0.892662        0.00888629
               707           0.01996          0.891427        0.00895904
               708           0.92424          0.891474        0.00894651
               709           0.99796          0.891624        0.00893515
               710           0.97284          0.891738         0.0089233
               711           0.61864          0.891354        0.00891901
               712           0.98988          0.891492        0.00890755
               713           0.99812          0.891642        0.00889632
               714           0.72308          0.891406        0.00888699
               715           0.95908          0.891501        0.00887506
               716           0.95164          0.891585        0.00886307
               717           0.97764          0.891705        0.00885152
               718           0.99456          0.891848        0.00884035
               719           0.98696           0.89198        0.00882904
               720           0.99164          0.892119        0.00881787
               721           0.74904           0.89192        0.00880787
               722           0.98112          0.892044        0.00879653
               723           0.97472          0.892158        0.00878511
               724            0.9726          0.892269        0.00877368
               725            -0.287          0.890643        0.00891108
               726          -0.98656          0.888057        0.00926635
               727           0.48928          0.887508        0.00926983
               728           0.99276          0.887653        0.00925822
               729            0.9716          0.887768        0.00924624
               730             0.989          0.887907        0.00923461
               731          -0.05184          0.886621        0.00931103
               732          -0.02008          0.885383        0.00938034
               733           0.90776          0.885413        0.00936759
