#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               252                 1          0.785556         0.0185518
               253                 1          0.786403         0.0184979
               254                 1          0.787244         0.0184441
               255                 1          0.788078         0.0183907
               256                 1          0.788906         0.0183375
               257                 1          0.789728         0.0182845
               258                 1          0.790543         0.0182318
               259                 1          0.791351         0.0181793
               260                 1          0.792154         0.0181271
               261                 1           0.79295         0.0180751
               262                 1           0.79374         0.0180234
               263                 1          0.794525         0.0179719
               264                 1          0.795303         0.0179207
               265                 1          0.796075         0.0178697
               266                 1          0.796842          0.017819
               267                 1          0.797603         0.0177685
               268                 1          0.798358         0.0177182
               269                 1          0.799108         0.0176682
               270                 1          0.799852         0.0176184
               271                 1           0.80059         0.0175689
               272                 1          0.801324         0.0175196
               273                 1          0.802051         0.0174705
               274                 1          0.802774         0.0174217
               275                 1          0.803491         0.0173731
               276                 1          0.804203         0.0173247
               277                 1           0.80491         0.0172766
               278                 1          0.805612         0.0172287
               279                 1          0.806308          0.017181
               280                 1             0.807         0.0171336
               281                 1          0.807687         0.0170864
               282                 1          0.808369         0.0170394
               283                 1          0.809046         0.0169926
               284                 1          0.809718         0.0169461
               285                 1          0.810386         0.0168998
               286                 1          0.811049         0.0168537
               287                 1          0.811707         0.0168078
               288                 1          0.812361         0.0167622
               289                 1           0.81301         0.0167167
               290                 1          0.813655         0.0166715
               291                 1          0.814296         0.0166265
               292                 1          0.814932         0.0165817
               293                 1          0.815563         0.0165372
               294                 1           0.81619         0.0164928
               295                 1          0.816814         0.0164487
               296                 1          0.817432         0.0164047
               297                 1          0.818047          0.016361
               298                 1          0.818658         0.0163175
               299                 1          0.819264         0.0162742
               300                 1          0.819867         0.0162311
               301                 1          0.820465         0.0161882
               302                 1           0.82106         0.0161455
               303                 1           0.82165          0.016103
               304                 1          0.822237         0.0160607
               305                 1           0.82282         0.0160187
               306                 1          0.823399         0.0159768
               307                 1          0.823974         0.0159351
               308                 1          0.824545         0.0158936
               309                 1          0.825113         0.0158523
               310                 1          0.825677         0.0158112
               311                 1          0.826238         0.0157703
               312                 1          0.826795         0.0157296
               313                 1          0.827348          0.015689
               314                 1          0.827898         0.0156487
               315                 1          0.828444         0.0156086
               316                 1          0.828987         0.0155686
               317                 1          0.829527         0.0155288
               318                 1          0.830063         0.0154893
               319                 1          0.830596         0.0154499
               320                 1          0.831125         0.0154107
               321                 1          0.831651         0.0153716
               322                 1          0.832174         0.0153328
               323                 1          0.832693         0.0152941
               324                 1           0.83321         0.0152556
               325                 1          0.833723         0.0152173
               326                 1          0.834233         0.0151792
               327                 1           0.83474         0.0151412
               328                 1          0.835244         0.0151034
               329                 1          0.835745         0.0150658
               330                 1          0.836242         0.0150284
               331                 1          0.836737         0.0149911
               332                 1          0.837229          0.014954
               333                 1          0.837718         0.0149171
               334                 1          0.838204         0.0148804
               335                 1          0.838687         0.0148438
               336                 1          0.839167         0.0148074
               337                 1          0.839644         0.0147711
               338                 1          0.840118          0.014735
