#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               254           166.667           117.693           4.12023
               255           166.667           117.885           4.10855
               256           166.667           118.076           4.09691
               257           166.667           118.265           4.08533
               258           166.667           118.453            4.0738
               259           166.667           118.639           4.06232
               260           166.667           118.824            4.0509
               261           166.667           119.007           4.03952
               262           166.667           119.189            4.0282
               263           166.667           119.369           4.01692
               264           166.667           119.548            4.0057
               265           166.667           119.726           3.99453
               266           166.667           119.903           3.98341
               267           166.667           120.078           3.97234
               268           166.667           120.252           3.96132
               269           166.667           120.424           3.95035
               270           166.667           120.596           3.93943
               271           166.667           120.766           3.92856
               272           166.667           120.934           3.91774
               273           166.667           121.102           3.90697
               274           166.667           121.268           3.89625
               275           166.667           121.433           3.88557
               276           166.667           121.597           3.87495
               277           166.667            121.76           3.86438
               278           166.667           121.921           3.85385
               279           166.667           122.082           3.84337
               280           166.667           122.241           3.83294
               281           166.667           122.399           3.82256
               282           166.667           122.556           3.81223
               283           166.667           122.712           3.80194
               284           166.667           122.867            3.7917
               285           166.667            123.02           3.78151
               286           166.667           123.173           3.77137
               287           166.667           123.325           3.76127
               288           166.667           123.475           3.75122
               289           166.667           123.624           3.74122
               290           166.667           123.773           3.73126
               291           166.667            123.92           3.72135
               292           166.667           124.067           3.71148
               293           166.667           124.212           3.70166
               294           166.667           124.356           3.69189
               295           166.667             124.5           3.68216
               296           166.667           124.642           3.67247
               297           166.667           124.784           3.66283
               298           166.667           124.924           3.65324
               299           166.667           125.064           3.64368
               300           166.667           125.203           3.63418
               301           166.667            125.34           3.62471
               302           166.667           125.477           3.61529
               303           166.667           125.613           3.60592
               304           166.667           125.748           3.59658
               305           166.667           125.882           3.58729
               306           166.667           126.016           3.57804
               307           166.667           126.148           3.56884
               308           166.667            126.28           3.55967
               309           166.667            126.41           3.55055
               310           166.667            126.54           3.54147
               311           166.667           126.669           3.53244
               312           166.667           126.797           3.52344
               313           166.667           126.925           3.51448
               314           166.667           127.051           3.50557
               315           166.667           127.177            3.4967
               316           166.667           127.302           3.48786
               317           166.667           127.426           3.47907
               318           166.667            127.55           3.47032
               319           166.667           127.672            3.4616
               320           166.667           127.794           3.45293
               321           166.667           127.915            3.4443
               322           166.667           128.036            3.4357
               323           166.667           128.155           3.42715
               324           166.667           128.274           3.41863
               325           166.667           128.392           3.41015
               326           166.667            128.51           3.40171
               327           166.667           128.626           3.39331
               328           166.667           128.742           3.38494
               329           166.667           128.858           3.37662
               330           166.667           128.972           3.36833
               331           166.667           129.086           3.36008
               332           166.667           129.199           3.35186
               333           166.667           129.312           3.34369
               334           166.667           129.424           3.33554
               335           166.667           129.535           3.32744
               336           166.667           129.645           3.31937
               337           166.667           129.755           3.31134
               338           166.667           129.864           3.30334
               339           166.667           129.973           3.29538
               340           166.667           130.081           3.28746
               341           166.667           130.188           3.27957
