#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               359             -0.76         -0.765571        0.00456286
               360             -0.76         -0.765556        0.00455021
               361             -0.84         -0.765762        0.00454227
               362             -0.76         -0.765746        0.00452975
               363             -0.76          -0.76573         0.0045173
               364             -0.84         -0.765934         0.0045095
               365             -0.76         -0.765918        0.00449717
               366             -0.68         -0.765683        0.00449101
               367             -0.68          -0.76545        0.00448484
               368             -0.68         -0.765217        0.00447866
               369             -0.76         -0.765203        0.00446654
               370             -0.76         -0.765189        0.00445449
               371             -0.84         -0.765391        0.00444705
               372             -0.84         -0.765591        0.00443961
               373             -0.84         -0.765791        0.00443219
               374             -0.84         -0.765989        0.00442478
               375             -0.84         -0.766187        0.00441738
               376             -0.84         -0.766383        0.00440999
               377             -0.84         -0.766578        0.00440261
               378             -0.76         -0.766561          0.004391
               379             -0.84         -0.766755        0.00438369
               380             -0.84         -0.766947        0.00437639
               381             -0.84         -0.767139         0.0043691
               382             -0.84          -0.76733        0.00436182
               383             -0.84          -0.76752        0.00435456
               384             -0.76           -0.7675        0.00434326
               385             -0.76         -0.767481        0.00433203
               386             -0.76         -0.767461        0.00432085
               387             -0.68         -0.767235        0.00431559
               388             -0.68          -0.76701        0.00431032
               389             -0.76         -0.766992        0.00429927
               390             -0.68         -0.766769        0.00429403
               391             -0.68         -0.766547        0.00428878
               392             -0.68         -0.766327        0.00428352
               393             -0.76          -0.76631        0.00427265
               394             -0.84         -0.766497         0.0042659
               395             -0.76         -0.766481        0.00425513
               396             -0.76         -0.766465        0.00424442
               397             -0.68         -0.766247        0.00423931
               398             -0.68          -0.76603        0.00423419
               399             -0.76         -0.766015        0.00422361
               400             -0.84           -0.7662         0.0042171
               401             -0.84         -0.766384        0.00421059
               402             -0.84         -0.766567         0.0042041
               403             -0.92         -0.766948        0.00421087
               404             -0.92         -0.767327        0.00421746
               405             -0.84         -0.767506        0.00421086
               406             -0.76         -0.767488        0.00420053
               407             -0.76         -0.767469        0.00419025
               408             -0.76         -0.767451        0.00418002
               409             -0.68         -0.767237        0.00417526
               410             -0.84         -0.767415        0.00416885
               411             -0.84         -0.767591        0.00416244
               412             -0.76         -0.767573        0.00415238
               413             -0.92         -0.767942         0.0041587
               414             -0.84         -0.768116        0.00415229
               415             -0.76         -0.768096        0.00414233
               416             -0.68         -0.767885        0.00413779
               417             -0.76         -0.767866        0.00412791
               418             -0.84         -0.768038        0.00412164
               419             -0.84          -0.76821        0.00411538
               420             -0.84         -0.768381        0.00410913
               421             -0.84         -0.768551        0.00410289
               422             -0.84          -0.76872        0.00409665
               423             -0.84         -0.768889        0.00409043
               424             -0.84         -0.769057        0.00408422
               425             -0.76         -0.769035        0.00407467
               426             -0.68         -0.768826        0.00407046
               427             -0.76         -0.768806        0.00406098
               428             -0.84         -0.768972         0.0040549
               429             -0.84         -0.769138        0.00404882
               430             -0.84         -0.769302        0.00404276
               431             -0.84         -0.769466        0.00403671
               432             -0.84          -0.76963        0.00403066
               433             -0.76         -0.769607        0.00402142
               434             -0.76         -0.769585        0.00401221
               435             -0.68         -0.769379        0.00400827
               436             -0.68         -0.769174        0.00400432
               437             -0.68          -0.76897        0.00400035
               438             -0.76          -0.76895        0.00399127
               439              -0.6         -0.768565        0.00400069
               440             -0.84         -0.768727        0.00399489
               441             -0.76         -0.768707        0.00398588
               442             -0.76         -0.768688        0.00397691
               443             -0.68         -0.768488        0.00397297
               444             -0.76         -0.768468        0.00396407
               445             -0.84         -0.768629        0.00395842
               446             -0.84         -0.768789        0.00395277
