#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               659              0.32           7.27842          0.334254
               660              0.32           7.26788          0.333914
               661              0.08             7.257          0.333586
               662              0.72           7.24713          0.333228
               663              0.72           7.23729          0.332871
               664              3.92           7.23229          0.332407
               665             11.52           7.23874           0.33197
               666             13.52           7.24817          0.331605
               667              9.68           7.25181          0.331128
               668                 8           7.25293          0.330634
               669                 8           7.25405          0.330142
               670              5.12           7.25087          0.329665
               671              6.48           7.24972          0.329175
               672              6.48           7.24857          0.328687
               673              5.12           7.24541          0.328214
               674                 2           7.23763           0.32782
               675              0.72           7.22797          0.327476
               676              0.32           7.21775          0.327151
               677              0.32           7.20756          0.326826
               678              2.88           7.20118          0.326407
               679              2.88           7.19482          0.325988
               680              0.72           7.18529          0.325648
               681                 0           7.17474           0.32534
               682                 0           7.16422          0.325033
               683                 2           7.15666          0.324645
               684                 2           7.14912          0.324258
               685              9.68           7.15282          0.323806
               686                 8           7.15405          0.323336
               687              0.72           7.14469          0.323001
               688                 2           7.13721          0.322618
               689              1.28           7.12871          0.322262
               690              1.28           7.12023          0.321906
               691              9.68           7.12394          0.321462
               692              5.12           7.12104           0.32101
               693              0.08           7.11088          0.320708
               694              0.08           7.10075          0.320406
               695              1.28           7.09237          0.320054
               696              0.08            7.0823          0.319753
               697              0.08           7.07225          0.319452
               698                 2           7.06499          0.319077
               699              2.88             7.059          0.318677
               700              6.48           7.05817          0.318222
               701                 2           7.05096           0.31785
               702              2.88           7.04501          0.317453
               703              6.48           7.04421          0.317003
               704              6.48           7.04341          0.316553
               705              2.88            7.0375          0.316159
               706              9.68           7.04125          0.315734
               707             11.52           7.04758          0.315351
               708                 8           7.04893          0.314908
               709                 8           7.05027          0.314467
               710                 8           7.05161          0.314027
               711             15.68           7.06374          0.313819
               712             13.52           7.07281           0.31351
               713             23.12           7.09532          0.313877
               714             25.92           7.12168          0.314543
               715             23.12           7.14406          0.314897
               716             20.48           7.16268          0.315008
               717             13.52           7.17155          0.314693
               718             11.52            7.1776          0.314313
               719              9.68           7.18108          0.313896
               720              9.68           7.18456          0.313479
               721             11.52           7.19057          0.313102
               722              6.48           7.18958           0.31267
               723             15.68           7.20133          0.312457
               724             15.68           7.21304          0.312245
               725             23.12           7.23498          0.312585
               726             11.52           7.24088           0.31221
               727              6.48           7.23983          0.311782
               728             23.12           7.26165          0.312116
               729             20.48           7.27978          0.312214
               730              9.68           7.28307          0.311804
               731             11.52           7.28886          0.311431
               732                 8           7.28984          0.311007
               733             11.52           7.29561          0.310636
               734              3.92           7.29101          0.310247
               735              0.08            7.2812           0.30998
               736                 0            7.2713          0.309717
               737              0.32           7.26187           0.30944
               738              0.08           7.25214          0.309174
               739              0.32           7.24276          0.308898
               740              0.32           7.23341          0.308622
               741              1.28           7.22537           0.30831
               742              2.88           7.21951           0.30795
               743              0.32           7.21023          0.307675
               744              2.88           7.20441          0.307317
               745              0.32           7.19517          0.307043
               746              2.88           7.18938          0.306686
               747              5.12           7.18661          0.306288
               748              3.92           7.18225           0.30591
               749                 2           7.17533           0.30558
               750              3.92           7.17099          0.305203
               751             11.52           7.17678          0.304852
               752              6.48           7.17585          0.304448
               753              9.68           7.17918          0.304061
               754             11.52           7.18493          0.303713
               755              6.48             7.184          0.303312
               756             11.52           7.18974          0.302965
               757              9.68           7.19303          0.302583
               758             13.52           7.20137          0.302298
               759             20.48           7.21887          0.302406
               760             20.48           7.23632          0.302511
               761                18           7.25046          0.302444
               762             15.68           7.26152          0.302249
               763                32           7.29394          0.303587
               764             28.88            7.3222          0.304502
               765                32           7.35446          0.305808
               766                32           7.38663          0.307096
               767                32           7.41872          0.308368
               768             35.28             7.455          0.310093
               769             38.72           7.49566          0.312344
               770             38.72           7.53621           0.31456
               771             35.28           7.57219          0.316203
               772             20.48           7.58891          0.316235
               773             15.68           7.59938          0.315999
               774             13.52           7.60703          0.315684
               775             23.12           7.62705           0.31591
               776             25.92           7.65062          0.316381
               777                18           7.66394          0.316255
               778             23.12            7.6838          0.316471
               779                18           7.69705          0.316342
               780                18           7.71026          0.316212
               781             13.52            7.7177          0.315895
               782              5.12           7.71437          0.315508
               783             11.52           7.71923          0.315143
               784             11.52           7.72408          0.314778
               785              9.68           7.72657          0.314387
               786              1.28           7.71837          0.314094
               787              1.28           7.71019          0.313801
               788              5.12            7.7069           0.31342
               789                 8           7.70728          0.313023
               790              3.92           7.70248          0.312664
               791              5.12           7.69922          0.312286
               792              0.32            7.6899           0.31203
               793              3.92           7.68515          0.311673
               794              0.72           7.67637          0.311404
               795              0.08           7.66682          0.311159
               796                 2            7.6597          0.310849
               797              1.28           7.65169          0.310562
               798              0.72           7.64301          0.310295
               799                 0           7.63344          0.310054
               800              0.08             7.624           0.30981
               801                 0           7.61448          0.309569
               802                 0           7.60499          0.309329
               803              0.72           7.59641          0.309062
               804                 0           7.58697          0.308822
               805              0.32           7.57794          0.308571
               806              0.32           7.56893          0.308319
