#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               477              0.48       0.000419287          0.016402
               478              0.56        0.00158996         0.0164094
               479              0.44        0.00250522         0.0164007
               480              0.48            0.0035         0.0163966
               481              0.36        0.00424116         0.0163793
               482              0.48        0.00522822          0.016375
               483              0.36        0.00596273         0.0163576
               484              0.48        0.00694215         0.0163531
               485              0.44        0.00783505         0.0163437
               486              0.32        0.00847737         0.0163227
               487              0.32        0.00911704         0.0163017
               488              0.24        0.00959016         0.0162752
               489              0.24         0.0100613         0.0162487
               490              0.12         0.0102857         0.0162171
               491               0.4         0.0110794         0.0162035
               492              0.48         0.0120325         0.0161986
               493              0.56          0.013144         0.0162038
               494              0.56          0.014251         0.0162088
               495              0.48         0.0151919         0.0162033
               496              0.52         0.0162097         0.0162026
               497              0.32         0.0168209         0.0161815
               498               0.4         0.0175904         0.0161673
               499               0.4         0.0183567          0.016153
               500               0.4           0.01912         0.0161387
               501              0.24         0.0195609         0.0161126
               502              0.16         0.0198406         0.0160829
               503              0.04         0.0198807          0.016051
               504              0.08              0.02         0.0160196
               505              0.12          0.020198         0.0159891
               506              0.12         0.0203953         0.0159587
               507              0.12         0.0205917         0.0159284
               508              0.04         0.0206299         0.0158971
               509               0.2         0.0209823         0.0158698
               510              0.28         0.0214902         0.0158468
               511              0.16         0.0217613         0.0158181
               512              0.24         0.0221875         0.0157929
               513              0.08         0.0223002         0.0157626
               514             -0.12         0.0220233         0.0157343
               515             -0.12         0.0217476         0.0157062
               516              0.04         0.0217829         0.0156758
               517              0.04         0.0218182         0.0156455
               518              0.04         0.0218533         0.0156153
               519              0.16         0.0221195         0.0155875
               520              0.04         0.0221538         0.0155576
               521             -0.32         0.0214971         0.0155416
               522              0.04         0.0215326         0.0155118
               523              0.12         0.0217208         0.0154833
               524              0.12         0.0219084         0.0154549
               525              0.04         0.0219429         0.0154255
               526                 0         0.0219011         0.0153962
               527              -0.2         0.0214801         0.0153728
               528             -0.44         0.0206061         0.0153685
               529              -0.4          0.019811           0.01536
               530             -0.32         0.0191698         0.0153444
               531             -0.36         0.0184557         0.0153321
               532             -0.36         0.0177444         0.0153198
               533              -0.2         0.0173358         0.0152965
               534             -0.44         0.0164794         0.0152918
               535              -0.4         0.0157009          0.015283
               536              -0.4         0.0149254         0.0152742
               537             -0.24         0.0144507         0.0152531
               538              -0.4         0.0136803         0.0152442
               539             -0.24         0.0132096         0.0152232
               540             -0.24         0.0127407         0.0152022
               541             -0.52          0.011756          0.015206
               542             -0.36         0.0110701         0.0151934
               543             -0.16         0.0107551         0.0151686
               544              -0.4              0.01         0.0151595
               545             -0.36         0.0093211         0.0151469
               546             -0.56        0.00827839          0.015155
               547             -0.48        0.00738574         0.0151536
               548             -0.52        0.00642336         0.0151565
               549             -0.12        0.00619308         0.0151306
               550             -0.16        0.00589091         0.0151061
               551             -0.16        0.00558984         0.0150817
               552             -0.12        0.00536232         0.0150561
               553                 0        0.00535262         0.0150289
               554             -0.16        0.00505415         0.0150047
               555             -0.04        0.00497297         0.0149779
               556             -0.04        0.00489209         0.0149512
               557             -0.08        0.00473968         0.0149251
               558             -0.08        0.00458781         0.0148991
               559             -0.04        0.00450805         0.0148727
               560              -0.2        0.00414286         0.0148506
               561             -0.32        0.00356506         0.0148354
               562             -0.28         0.0030605         0.0148176
               563             -0.28        0.00255773         0.0147998
               564             -0.16         0.0022695         0.0147763
               565              -0.2         0.0019115         0.0147545
               566             -0.16        0.00162544         0.0147312
               567             -0.12        0.00141093         0.0147068
               568              0.04        0.00147887         0.0146811
               569               0.2        0.00182777         0.0146594
               570              0.24        0.00224561         0.0146396
               571               0.4        0.00294221         0.0146306
               572              0.28        0.00342657          0.014613
               573              0.12        0.00363002         0.0145889
               574              0.12        0.00383275         0.0145649
               575              0.04        0.00389565         0.0145397
               576              0.04        0.00395833         0.0145146
               577             -0.16        0.00367418         0.0144922
               578             -0.24         0.0032526         0.0144733
               579             -0.36        0.00262522         0.0144619
               580             -0.44        0.00186207         0.0144571
               581              -0.6       0.000826162         0.0144693
               582             -0.72      -0.000412371         0.0144973
               583             -0.76       -0.00171527         0.0145309
               584             -0.72       -0.00294521          0.014558
               585             -0.64       -0.00403419         0.0145737
               586             -0.52       -0.00491468         0.0145754
               587             -0.64       -0.00599659         0.0145907
               588             -0.72       -0.00721088         0.0146163
               589             -0.48       -0.00801358         0.0146135
               590             -0.56       -0.00894915         0.0146187
               591             -0.76          -0.01022         0.0146491
               592              -0.8        -0.0115541          0.014685
               593             -0.88        -0.0130185          0.014733
               594             -0.68        -0.0141414          0.014751
               595             -0.68        -0.0152605         0.0147686
               596             -0.84        -0.0166443         0.0148085
               597             -0.72        -0.0178224         0.0148305
               598              -0.8        -0.0191304         0.0148632
               599             -0.84        -0.0205008         0.0149015
               600              -0.8           -0.0218         0.0149332
               601              -0.8        -0.0230948         0.0149643
               602             -0.72        -0.0242525         0.0149842
               603             -0.68          -0.02534         0.0149988
               604             -0.48        -0.0260927         0.0149928
               605             -0.48         -0.026843         0.0149868
               606             -0.52        -0.0276568         0.0149841
               607             -0.72        -0.0287974         0.0150028
               608             -0.72        -0.0299342         0.0150211
               609             -0.72        -0.0310673         0.0150391
               610             -0.72        -0.0321967         0.0150568
               611             -0.52        -0.0329951         0.0150533
               612             -0.68        -0.0340523         0.0150658
               613              -0.4        -0.0346493         0.0150531
               614             -0.48        -0.0353746          0.015046
               615             -0.72        -0.0364878         0.0150627
               616             -0.72        -0.0375974          0.015079
               617             -0.76        -0.0387682            0.0151
               618              -0.6        -0.0396764         0.0151028
               619             -0.44        -0.0403231         0.0150923
               620             -0.36        -0.0408387         0.0150767
               621             -0.52        -0.0416103         0.0150722
               622             -0.56        -0.0424437          0.015071
               623             -0.36        -0.0429535         0.0150554
               624             -0.56        -0.0437821         0.0150541
               625             -0.56         -0.044608         0.0150526
               626              -0.6        -0.0454952         0.0150547
               627             -0.64        -0.0464434         0.0150605
               628              -0.4        -0.0470064         0.0150471
               629             -0.28        -0.0473768         0.0150277
               630             -0.24        -0.0476825         0.0150069
               631             -0.08        -0.0477338         0.0149832
               632             -0.32        -0.0481646         0.0149657
               633             -0.52          -0.04891         0.0149606
               634             -0.68        -0.0499054         0.0149701
               635             -0.68        -0.0508976         0.0149794
               636             -0.44        -0.0515094         0.0149683
               637             -0.52        -0.0522449         0.0149629
               638             -0.24        -0.0525392         0.0149423
               639             -0.36        -0.0530203         0.0149267
               640              -0.4        -0.0535625         0.0149132
               641             -0.48        -0.0542278         0.0149048
               642             -0.56        -0.0550156         0.0149024
               643             -0.72        -0.0560498          0.014915
               644             -0.68        -0.0570186         0.0149233
               645             -0.52        -0.0577364         0.0149174
               646             -0.56        -0.0585139         0.0149146
               647             -0.52        -0.0592272         0.0149086
               648             -0.28        -0.0595679         0.0148895
               649             -0.36        -0.0600308         0.0148737
               650             -0.32        -0.0604308         0.0148562
               651              -0.4        -0.0609524         0.0148425
               652              -0.2        -0.0611656         0.0148213
               653              0.04        -0.0610107         0.0147994
               654              0.04        -0.0608563         0.0147776
               655              0.12        -0.0605802         0.0147576
               656              0.24         -0.060122         0.0147422
               657              0.16        -0.0597869         0.0147236
               658                 0         -0.059696         0.0147015
               659              0.08        -0.0594841         0.0146807
