#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               361           166.667           154.616           1.87359
               362           166.667            154.65           1.86871
               363           166.667           154.683           1.86386
               364           166.667           154.716           1.85903
               365           166.667           154.748           1.85422
               366           166.667           154.781           1.84944
               367           166.667           154.813           1.84469
               368           166.667           154.846           1.83996
               369           166.667           154.878           1.83525
               370           166.667            154.91           1.83057
               371           166.667           154.941           1.82591
               372           166.667           154.973           1.82127
               373           166.667           155.004           1.81666
               374           166.667           155.035           1.81207
               375           166.667           155.066            1.8075
               376           166.667           155.097           1.80296
               377           166.667           155.128           1.79843
               378           166.667           155.158           1.79394
               379           166.667           155.189           1.78946
               380           166.667           155.219           1.78501
               381           166.667           155.249           1.78057
               382           166.667           155.279           1.77616
               383           166.667           155.309           1.77177
               384           166.667           155.338           1.76741
               385           166.667           155.368           1.76306
               386           166.667           155.397           1.75874
               387           166.667           155.426           1.75443
               388           166.667           155.455           1.75015
               389           166.667           155.484           1.74589
               390           166.667           155.512           1.74165
               391           166.667           155.541           1.73743
               392           166.667           155.569           1.73323
               393           166.667           155.598           1.72905
               394           166.667           155.626           1.72489
               395           166.667           155.654           1.72075
               396           166.667           155.681           1.71662
               397           166.667           155.709           1.71252
               398           166.667           155.737           1.70844
               399           166.667           155.764           1.70438
               400           166.667           155.791           1.70034
               401           166.667           155.818           1.69631
               402           166.667           155.845           1.69231
               403           166.667           155.872           1.68832
               404           166.667           155.899           1.68435
               405           166.667           155.926           1.68041
               406           166.667           155.952           1.67647
               407           166.667           155.978           1.67256
               408           166.667           156.005           1.66867
               409           166.667           156.031           1.66479
               410           166.667           156.057           1.66093
               411           166.667           156.082           1.65709
               412           166.667           156.108           1.65327
               413           166.667           156.134           1.64946
               414           166.667           156.159           1.64568
               415           166.667           156.184           1.64191
               416           166.667            156.21           1.63815
               417           166.667           156.235           1.63442
               418           166.667            156.26            1.6307
               419           166.667           156.284           1.62699
               420           166.667           156.309           1.62331
               421           166.667           156.334           1.61964
               422           166.667           156.358           1.61598
               423           166.667           156.383           1.61235
               424           166.667           156.407           1.60873
               425           166.667           156.431           1.60512
               426           166.667           156.455           1.60154
               427           166.667           156.479           1.59796
               428           166.667           156.503           1.59441
               429           166.667           156.526           1.59087
               430           166.667            156.55           1.58734
               431           166.667           156.574           1.58383
               432           166.667           156.597           1.58034
               433           166.667            156.62           1.57686
               434           166.667           156.643            1.5734
               435           166.667           156.666           1.56995
               436           166.667           156.689           1.56651
               437           166.667           156.712            1.5631
               438           166.667           156.735           1.55969
               439           166.667           156.757            1.5563
               440           166.667            156.78           1.55293
               441           166.667           156.802           1.54957
               442           166.667           156.825           1.54623
               443           166.667           156.847           1.54289
               444           166.667           156.869           1.53958
               445           166.667           156.891           1.53628
               446           166.667           156.913           1.53299
               447           166.667           156.935           1.52971
               448           166.667           156.957           1.52645
               449           166.667           156.978           1.52321
               450           166.667               157           1.51997
               451           166.667           157.021           1.51675
               452           166.667           157.042           1.51355
               453           166.667           157.064           1.51036
               454           166.667           157.085           1.50718
               455           166.667           157.106           1.50401
               456           166.667           157.127           1.50086
               457           166.667           157.148           1.49772
               458           166.667           157.169            1.4946
               459           166.667           157.189           1.49148
               460           166.667            157.21           1.48838
               461           166.667            157.23            1.4853
               462           166.667           157.251           1.48222
               463           166.667           157.271           1.47916
               464           166.667           157.291           1.47611
               465           166.667           157.312           1.47307
               466           166.667           157.332           1.47005
               467           166.667           157.352           1.46704
               468           166.667           157.372           1.46404
               469           166.667           157.391           1.46105
