# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        5.36       0.012       0.002  0.00182574
        5.52       0.016  0.00266667  0.00243432
        5.68       0.028  0.00466667  0.00426006
        5.84       0.053  0.00883333  0.00806369
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0 0.000285714  0.00026452
        0.24           0   0.0301429   0.0161289
         0.4       0.125    0.256429   0.0979218
        0.56       1.948    0.709571    0.259794
        0.72        2.95     1.30486    0.434291
        0.88       2.696     1.48786    0.312828
        1.04       1.055     1.27571    0.298911
         1.2        2.29     1.89243    0.366739
        1.36       5.137     3.02857    0.700237
        1.52       4.702        2.91    0.665744
        1.68       7.677     3.76171    0.839822
        1.84       7.719     4.91414    0.945596
           2       8.121         6.6     1.24558
        2.16       7.152     6.10486    0.822719
        2.32       6.094      16.363     5.13483
        2.48       7.265     10.9126      1.4025
        2.64       5.663     15.5641     3.97556
         2.8       6.401     7.85414    0.537712
        2.96       6.124     5.41486    0.681715
        3.12         4.7     4.30314    0.733463
        3.28       2.429     3.44829    0.735228
        3.44       2.951       2.234    0.497665
         3.6       1.545     1.61586    0.317014
        3.76       5.008     1.69757    0.606019
        3.92       3.813     1.75757    0.537863
        4.08       1.029    0.932429    0.272257
        4.24        0.79    0.587286    0.135724
         4.4       0.547    0.208143   0.0715648
        4.56       1.032    0.456143    0.188864
        4.72       0.656    0.183714   0.0842631
        4.88       0.381   0.0964286   0.0582934
        5.04           0   0.0525714   0.0486717
         5.2           0       0.026   0.0240713
        5.36           0  0.00171429  0.00158712
        5.52           0  0.00228571  0.00211616
        5.68           0       0.004  0.00370328
        5.84           0  0.00757143  0.00700978
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0     0.00025 0.000233854
        0.24       0.073      0.0355    0.014976
         0.4       0.032    0.228375   0.0896101
        0.56       1.565      0.8165    0.248352
        0.72       2.705     1.47988     0.41377
        0.88       2.556     1.62138    0.300871
        1.04       1.097     1.25337     0.26238
         1.2       2.022     1.90863    0.321254
        1.36           6         3.4    0.704361
        1.52       8.853     3.65287    0.906762
        1.68       6.012       4.043     0.78053
        1.84       5.601           5    0.831285
           2       5.723     6.49038     1.09469
        2.16       7.464     6.27475    0.737212
        2.32       9.334     15.4844     4.56753
        2.48       6.204      10.324     1.34503
        2.64       4.612     14.1951     3.70684
         2.8       5.248     7.52837     0.56056
        2.96        5.85     5.46925    0.598666
        3.12       4.616     4.34225    0.642822
        3.28       3.454       3.449    0.643325
        3.44        4.92     2.56975    0.536898
         3.6       4.052     1.92038    0.397597
        3.76       2.578     1.80762    0.540167
        3.92       3.193       1.937    0.499663
        4.08        1.11    0.954625    0.239128
        4.24       1.316    0.678375    0.146164
         4.4       0.771      0.2785   0.0908434
        4.56       0.416    0.451125    0.165323
        4.72       0.424     0.21375    0.078902
        4.88       0.109       0.098   0.0510279
        5.04        0.09     0.05725    0.042812
         5.2           0     0.02275   0.0212807
        5.36           0      0.0015  0.00140312
        5.52           0       0.002  0.00187083
        5.68           0      0.0035  0.00327395
        5.84           0    0.006625  0.00619712
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0 0.000222222 0.000209513
        0.24           0   0.0315556   0.0138217
         0.4       0.088    0.212778   0.0809994
        0.56        0.97    0.833556    0.221342
        0.72       1.812     1.51678    0.369437
        0.88       1.527     1.61089    0.267624
        1.04       3.517     1.50489    0.332604
         1.2       3.085     2.03933    0.311015
        1.36       8.097     3.92189    0.796307
        1.52       6.963     4.02067    0.877436
        1.68       4.689     4.11478    0.697097
        1.84       5.326     5.03622    0.739709
           2       6.738     6.51789    0.973407
        2.16       8.134     6.48133    0.683632
        2.32       7.757     14.6258     4.13994
        2.48        4.56     9.68356     1.33941
        2.64       4.405     13.1073     3.45089
         2.8       7.339     7.50733     0.49867
        2.96       8.075     5.75878    0.598075
        3.12       5.956     4.52156     0.59588
        3.28       3.197       3.421    0.572453
        3.44       3.303     2.65122    0.483385
         3.6       2.477     1.98222    0.358198
        3.76       2.201     1.85133    0.481914
        3.92       3.504     2.11111    0.473509
        4.08       1.704     1.03789    0.226591
        4.24       1.191    0.735333    0.140584
         4.4       0.222    0.272222   0.0809664
        4.56       0.023    0.403556    0.153645
        4.72       0.772    0.275778   0.0913175
        4.88       0.368       0.128   0.0534543
        5.04           0   0.0508889   0.0385248
         5.2           0   0.0202222   0.0190657
        5.36           0  0.00133333  0.00125708
        5.52           0  0.00177778   0.0016761
        5.68           0  0.00311111  0.00293318
        5.84           0  0.00588889   0.0055521
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0      0.0002 0.000189737
        0.24       0.005      0.0289   0.0126921
         0.4       0.576      0.2491   0.0806332
        0.56        1.81      0.9312    0.219693
        0.72       1.456      1.5107    0.332544
        0.88       1.301      1.5799    0.242649
        1.04       1.677      1.5221    0.299788
         1.2       5.692      2.4046    0.445454
        1.36       7.988      4.3285    0.813895
        1.52        8.16      4.4346    0.881941
        1.68       5.646      4.2679    0.643985
        1.84       3.362      4.8688    0.684423
           2       7.335      6.5996    0.879489
        2.16       8.562      6.6894    0.646157
        2.32       6.062     13.7694     3.81349
        2.48       4.602      9.1754     1.29829
        2.64       7.138     12.5104     3.15701
         2.8       5.808      7.3374    0.476879
        2.96         5.3      5.7129    0.540024
        3.12       3.908      4.4602    0.539442
        3.28       3.985      3.4774    0.517979
        3.44       4.261      2.8122    0.461073
         3.6       3.165      2.1005    0.341348
        3.76       2.202      1.8864    0.434997
        3.92       2.072      2.1072    0.426174
        4.08        2.37      1.1711    0.239914
        4.24       0.329      0.6947    0.132267
         4.4        0.16       0.261   0.0736433
