# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
              1.36              3.75            3.7972          0.163273
           1.41333             3.128            3.6422          0.192571
           1.46667              2.68            3.3064          0.181857
              1.52             3.172            3.2106           0.18283
           1.57333             3.056            3.1476          0.141687
         0.0266667              0.02        0.00454545         0.0018911
              0.08             0.048         0.0390909         0.0135485
          0.133333             0.136         0.0916364         0.0224953
          0.186667              0.22          0.141455         0.0309968
              0.24             0.304          0.232364         0.0298568
          0.293333              0.63          0.374545         0.0462277
          0.346667             0.742          0.483455         0.0513932
               0.4             1.088          0.752727           0.07169
          0.453333             0.976           1.00145         0.0565581
          0.506667             1.742           1.27091         0.0690212
              0.56             2.336           1.57436           0.15517
          0.613333             1.516             1.732           0.12493
          0.666667             1.542           1.72782          0.117015
              0.72              1.86           2.11018          0.154789
          0.773333             2.366           2.34636          0.162789
          0.826667              2.64           2.65818          0.101631
              0.88             2.674           2.72745         0.0803727
          0.933333             2.724           2.88873         0.0845149
          0.986667              3.65           3.21545          0.173354
              1.04             3.678           3.52364          0.351141
           1.09333             3.308           3.50655          0.315814
           1.14667             3.882           3.58218          0.317351
               1.2             3.916             4.012           0.37763
           1.25333             3.122           3.70055          0.305886
           1.30667             3.248           3.62455          0.203753
              1.36              3.63             3.782          0.149136
           1.41333             3.232           3.60491          0.178639
           1.46667              3.32           3.30764          0.165329
              1.52             3.418           3.22945          0.167178
           1.57333             3.386           3.16927          0.130454
         0.0266667                 0        0.00416667        0.00177104
              0.08                 0         0.0358333         0.0128051
          0.133333             0.124         0.0943333         0.0207817
          0.186667             0.168          0.143667         0.0284925
              0.24              0.17          0.227167         0.0278173
          0.293333             0.248             0.364         0.0435616
          0.346667              0.32          0.469833         0.0488822
               0.4             0.784          0.755333         0.0657632
          0.453333             1.528           1.04533         0.0667293
          0.506667             2.828           1.40067          0.139417
              0.56              2.78           1.67483          0.171712
          0.613333              2.52           1.79767          0.130643
          0.666667              2.05           1.75467          0.110301
              0.72              1.72           2.07767          0.145264
          0.773333             1.938           2.31233          0.152739
          0.826667             2.026            2.6055           0.10594
              0.88             2.002             2.667          0.093692
          0.933333             2.416           2.84933         0.0861653
          0.986667             3.438             3.234          0.159897
              1.04             4.176             3.578          0.326061
           1.09333              4.12           3.55767          0.293605
           1.14667             4.236           3.63667          0.295545
               1.2             5.458            4.1325          0.364881
           1.25333             4.148           3.73783          0.282659
           1.30667             3.514           3.61533          0.186982
              1.36             3.244           3.73717          0.143288
           1.41333              2.91             3.547          0.172884
           1.46667             3.376           3.31333           0.15165
              1.52              2.69            3.1845          0.159176
           1.57333             2.594           3.12133          0.128088
         0.0266667             0.006        0.00430769        0.00164041
              0.08             0.004         0.0333846         0.0120519
          0.133333             0.008         0.0876923         0.0202164
