# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
           1.59028           48.3432           47.2953          0.331304
           1.61593           50.1748           49.9235         0.0887099
           1.64158           52.3188           52.5192         0.0803369
           1.66723           54.5936            56.007          0.726552
           1.69288            57.862           59.4607           0.48068
           1.71853           62.1036            64.353          0.721385
           1.74418           68.2184           69.8173            0.6214
           1.76983           72.9644           75.0458          0.778114
           1.79547           79.3684           80.9996          0.664707
           1.82112            85.722           87.1852          0.427173
           1.84677            94.976           94.1081          0.432704
           1.87242           101.116           100.691          0.298454
           1.89807           109.213            108.07          0.486208
           1.92372           117.437           115.587          0.765161
           1.94937           122.534           122.743          0.150703
           1.97502           128.864           129.412          0.300915
           2.00067            134.91           135.613          0.926781
           2.02632           143.185           142.494          0.349605
           2.05197            146.89           147.196           0.56277
           2.07762           151.214           150.635           0.79026
           2.10327           152.862           151.538          0.799223
           2.12892            153.24            152.49          0.925359
           2.15457           152.698           152.353           1.01551
           2.18022            153.31           153.412           0.32741
           2.20587           154.502           153.765          0.761294
           2.23152           152.743           153.133           0.79415
           2.25717            153.05           153.105          0.548049
           2.28282           151.828           151.341          0.500009
           2.30847           152.572           151.399          0.403949
           2.33412           154.081           151.745          0.924638
           2.35977           152.261           152.201          0.692732
           2.38542           149.847           149.633          0.452741
           2.41107           152.407           151.171          0.601031
           2.43672           151.681           150.801          0.844725
           2.46237           154.953           152.472           0.76593
           2.48802           156.293           155.004          0.430735
           2.51366           156.776            156.63          0.481973
           2.53931           160.061           160.166          0.773941
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
