# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333                 0          0.206667         0.0761448
               0.4             1.262           1.64889          0.238777
          0.666667             3.856             2.568          0.307519
          0.933333             3.864           5.36422          0.597937
               1.2            13.902           10.2356           1.20418
           1.46667             15.32           12.3338           1.05261
           1.73333             18.53           14.1644           1.01701
                 2            13.514           13.1353          0.521461
           2.26667              8.65           12.4302           1.11176
           2.53333              11.2           11.8436           1.56331
               2.8             8.234           10.1389          0.799088
           3.06667             4.988           5.57689          0.604181
           3.33333             2.434             4.356          0.469035
               3.6             0.722           1.95489          0.430287
           3.86667             0.662          0.860667           0.22149
           4.13333             0.862             0.656          0.132726
               4.4                 0          0.404889          0.126607
           4.66667                 0         0.0628889         0.0458113
           4.93333                 0         0.0404444         0.0334675
               5.2                 0         0.0126667         0.0119422
           5.46667                 0        0.00511111         0.0048188
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.046            0.1906         0.0702049
               0.4             1.928            1.6768          0.216524
          0.666667             4.298             2.741           0.32177
          0.933333             6.354            5.4632          0.546274
               1.2             15.59            10.771            1.1969
           1.46667             10.54           12.1544          0.962513
           1.73333            18.364           14.5844          0.998255
                 2            17.332            13.555          0.615438
           2.26667             7.078            11.895           1.12205
           2.53333               8.5           11.5092           1.44229
               2.8             7.118            9.8368          0.774177
           3.06667             5.696            5.5888           0.54388
           3.33333             2.828            4.2032          0.446327
               3.6             1.422            1.9016          0.390544
           3.86667             0.778            0.8524          0.199495
           4.13333             0.128            0.6032          0.129531
               4.4                 0            0.3644          0.120246
           4.66667                 0            0.0566         0.0416596
           4.93333                 0            0.0364         0.0303642
               5.2                 0            0.0114          0.010815
           5.46667                 0            0.0046        0.00436394
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.33          0.203273         0.0649563
               0.4             2.488           1.75055          0.209022
          0.666667             3.836           2.84055          0.307531
          0.933333              7.94           5.68836          0.541031
               1.2             10.44           10.7409           1.08847
           1.46667             13.61           12.2867          0.884061
           1.73333            15.828           14.6975          0.913884
                 2            15.666           13.7469           0.58865
           2.26667             9.534           11.6804           1.04037
           2.53333             8.306            11.218           1.34025
               2.8            11.334           9.97291          0.715662
           3.06667             4.664           5.50473          0.500893
           3.33333              3.55           4.14382          0.409683
               3.6             0.474           1.77182          0.375986
           3.86667                 0          0.774909          0.195832
           4.13333                 0          0.548364          0.128841
               4.4                 0          0.331273          0.113787
           4.66667                 0         0.0514545         0.0381888
           4.93333                 0         0.0330909         0.0277835
               5.2                 0         0.0103636        0.00988134
           5.46667                 0        0.00418182        0.00398721
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.498          0.227833         0.0640184
               0.4             2.372           1.80233          0.197915
          0.666667             5.102             3.029          0.334702
          0.933333             9.476             6.004          0.580763
               1.2             8.114            10.522           1.01954
           1.46667            14.054            12.434          0.822565
           1.73333             16.72            14.866          0.853128
                 2            12.418           13.6362          0.549915
           2.26667            11.368           11.6543          0.953996
           2.53333             8.548           10.9955           1.24689
               2.8             8.884           9.88217          0.661752
           3.06667             6.086           5.55317          0.461488
           3.33333             3.208           4.06583          0.382893
               3.6             0.766             1.688          0.353873
           3.86667             0.146            0.7225          0.186394
           4.13333             0.164          0.516333          0.122021
               4.4             0.076              0.31          0.106274
           4.66667                 0         0.0471667         0.0352463
           4.93333                 0         0.0303333         0.0256047
               5.2                 0            0.0095        0.00909556
           5.46667                 0        0.00383333        0.00367014
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.236          0.228462          0.059097
               0.4             1.748           1.79815          0.182735
          0.666667             6.628           3.30585          0.407678
          0.933333            10.736             6.368          0.640074
               1.2            11.358           10.5863          0.943136
           1.46667            12.574           12.4448          0.759361
           1.73333            14.498           14.8377          0.787972
                 2            13.854           13.6529          0.507869
           2.26667              7.72           11.3517          0.927374
           2.53333             8.628           10.8134            1.1642
               2.8             8.566           9.78092          0.618544
           3.06667             6.344             5.614          0.429979
           3.33333             2.042           3.91015          0.383786
               3.6              0.94           1.63046          0.331297
           3.86667              1.95          0.816923          0.194507
           4.13333             0.178          0.490308          0.115377
               4.4                 0          0.286154          0.100739
           4.66667                 0         0.0435385         0.0327213
           4.93333                 0             0.028         0.0237412
               5.2                 0        0.00876923         0.0084252
           5.46667                 0        0.00353846        0.00339964
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.17          0.224286         0.0550231
               0.4             1.952           1.80914          0.170012
          0.666667             4.922           3.42129          0.394564
          0.933333             9.568           6.59657          0.633854
               1.2            13.186            10.772          0.893863
           1.46667            10.066           12.2749          0.723881
           1.73333             16.01           14.9214          0.736124
                 2             13.89           13.6699          0.471875
           2.26667            10.178           11.2679          0.864914
           2.53333             9.546           10.7229           1.08456
               2.8             9.794           9.78186          0.574363
           3.06667             4.466             5.532          0.407011
           3.33333             1.382           3.72957          0.396588
               3.6              2.49           1.69186           0.31327
           3.86667              0.38          0.785714            0.1831
           4.13333                 0          0.455286          0.112325
               4.4                 0          0.265714         0.0955946
           4.66667                 0         0.0404286         0.0305315
           4.93333                 0             0.026         0.0221295
               5.2                 0        0.00814286        0.00784665
           5.46667                 0        0.00328571        0.00316619
           5.73333                 0                 0                 0
                 6                 0                 0                 0
