#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               285             -0.48         0.0637193         0.0302445
               286             -0.48         0.0618182         0.0301984
               287             -0.56         0.0596516         0.0301708
               288             -0.44         0.0579167         0.0301159
               289             -0.36         0.0564706         0.0300464
               290             -0.36         0.0550345         0.0299771
               291              -0.4         0.0534708         0.0299148
               292             -0.52         0.0515068         0.0298768
               293             -0.72         0.0488737         0.0298906
               294             -0.64         0.0465306         0.0298806
               295             -0.52         0.0446102          0.029841
               296             -0.48         0.0428378         0.0297928
               297             -0.48         0.0410774         0.0297444
               298              -0.6         0.0389262         0.0297223
               299             -0.56         0.0369231         0.0296903
               300             -0.72            0.0344         0.0296984
               301             -0.72         0.0318937         0.0297053
               302             -0.76         0.0292715         0.0297224
               303              -0.6         0.0271947         0.0296968
               304              -0.6         0.0251316         0.0296707
               305             -0.52         0.0233443         0.0296272
               306             -0.68         0.0210458         0.0296194
               307             -0.76         0.0185016          0.029632
               308              -0.8         0.0158442         0.0296547
               309             -0.84         0.0130744         0.0296878
               310              -0.8         0.0104516         0.0297077
               311             -0.68        0.00823151          0.029695
               312             -0.56        0.00641026         0.0296556
               313             -0.48        0.00485623         0.0296015
               314             -0.56        0.00305732         0.0295619
               315              -0.4        0.00177778         0.0294957
               316             -0.36       0.000632911         0.0294246
               317              -0.4      -0.000630915         0.0293589
               318             -0.36       -0.00176101         0.0292883
               319             -0.56       -0.00351097         0.0292487
               320             -0.48            -0.005         0.0291952
               321             -0.48       -0.00647975         0.0291417
               322              -0.6       -0.00832298         0.0291095
               323              -0.6        -0.0101548         0.0290769
               324             -0.64        -0.0120988         0.0290521
               325              -0.6        -0.0139077         0.0290189
               326              -0.8         -0.016319         0.0290299
               327              -0.8        -0.0187156         0.0290399
               328             -0.72        -0.0208537           0.02903
               329              -0.6         -0.022614         0.0289951
               330             -0.76        -0.0248485         0.0289932
               331             -0.88         -0.027432         0.0290205
               332             -0.84        -0.0298795         0.0290361
               333             -0.88        -0.0324324         0.0290609
               334             -0.92        -0.0350898         0.0290951
               335             -0.88        -0.0376119         0.0291174
               336             -0.92        -0.0402381         0.0291489
               337             -0.88          -0.04273         0.0291687
               338             -0.72        -0.0447337         0.0291512
               339              -0.8        -0.0469617         0.0291502
               340              -0.8        -0.0491765         0.0291485
               341             -0.72        -0.0511437         0.0291293
               342             -0.76        -0.0532164         0.0291178
               343             -0.88        -0.0556268         0.0291325
               344             -0.96        -0.0582558         0.0291662
               345             -0.84        -0.0605217         0.0291695
               346             -0.96        -0.0631214         0.0292009
               347             -0.96        -0.0657061         0.0292309
               348             -0.96        -0.0682759         0.0292596
               349             -0.92        -0.0707163         0.0292774
               350             -0.88        -0.0730286         0.0292849
               351             -0.92        -0.0754416         0.0293007
               352                -1        -0.0780682          0.029335
               353             -0.88        -0.0803399         0.0293397
               354             -0.92        -0.0827119         0.0293525
