#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               388             20.48           17.6631          0.826882
               389             11.52           17.6473          0.824907
               390              9.68           17.6269          0.823044
               391             11.52           17.6113          0.821088
               392             13.52           17.6008          0.819059
               393                18           17.6018          0.816976
               394             13.52           17.5915          0.814968
               395             13.52           17.5812           0.81297
               396              9.68           17.5612          0.811162
               397              6.48           17.5333          0.809599
               398              9.68           17.5136          0.807805
               399                 8           17.4897          0.806132
               400              6.48           17.4622          0.804587
               401              9.68           17.4428          0.802814
               402              9.68           17.4235          0.801049
               403              9.68           17.4043          0.799292
               404             13.52           17.3947          0.797371
               405              9.68           17.3756           0.79563
               406             15.68           17.3714          0.793681
               407             15.68           17.3673          0.791742
               408             15.68           17.3631          0.789812
               409                18           17.3647          0.787883
               410             13.52           17.3553          0.786017
               411             13.52            17.346           0.78416
               412              9.68           17.3274          0.782477
               413                18            17.329          0.780585
               414             28.88           17.3569          0.779198
               415             42.32           17.4171          0.779638
               416                32           17.4521          0.778552
               417             25.92           17.4724           0.77695
               418             25.92           17.4926          0.775354
               419             15.68           17.4883          0.773515
               420                18           17.4895          0.771674
               421             23.12           17.5029          0.769957
               422             25.92           17.5228          0.768391
               423                18            17.524          0.766575
               424                18           17.5251          0.764768
               425             11.52            17.511          0.763099
               426             11.52           17.4969          0.761438
               427                18           17.4981          0.759655
               428             20.48            17.505          0.757912
               429             35.28           17.5465          0.757277
               430                32           17.5801          0.756262
               431             35.28           17.6212          0.755621
               432             35.28            17.662          0.754977
               433             28.88           17.6879          0.753678
               434             35.28           17.7285          0.753031
               435             25.92           17.7473          0.751535
               436                18           17.7479          0.749811
               437             25.92           17.7666          0.748329
               438             25.92           17.7852          0.746852
               439             23.12           17.7974          0.745249
               440             15.68           17.7925          0.743571
               441              0.32           17.7529           0.74294
               442                 2           17.7173          0.742113
               443              5.12           17.6888          0.740983
               444              5.12           17.6605          0.739854
               445                 8           17.6388           0.73851
               446              5.12           17.6108          0.737388
               447                 2           17.5758          0.736565
               448              0.32           17.5373          0.735927
               449              0.08           17.4984          0.735314
               450                 2            17.464          0.734486
               451              3.92            17.434          0.733471
               452              3.92           17.4041          0.732458
               453              3.92           17.3743          0.731445
               454              2.88           17.3424          0.730531
               455              9.68           17.3255          0.729119
               456                 8           17.3051          0.727807
               457              9.68           17.2884          0.726406
               458                 8           17.2681          0.725103
               459                 8           17.2479          0.723804
               460                 8           17.2278           0.72251
               461                 8           17.2078           0.72122
               462                 8           17.1879          0.719934
               463              9.68           17.1717          0.718562
               464              5.12           17.1457          0.717482
               465              2.88            17.115          0.716595
               466              2.88           17.0845          0.715708
               467              2.88            17.054          0.714821
               468              6.48           17.0315          0.713651
               469              6.48            17.009          0.712484
               470              9.68           16.9934          0.711139
               471             13.52            16.986          0.709667
               472              6.48           16.9637          0.708512
               473                 8           16.9448          0.707268
               474              3.92           16.9173          0.706309
               475              3.92           16.8899          0.705352
               476                 2           16.8587          0.704564
               477                 2           16.8275          0.703775
               478                 8            16.809          0.702545
               479              5.12           16.7846          0.701502
               480              5.12           16.7603          0.700461
               481              5.12           16.7361          0.699423
               482              1.28           16.7041          0.698706
               483                 2           16.6736          0.697923
               484              0.08           16.6393          0.697322
               485              0.72           16.6065          0.696657
               486              0.72           16.5738           0.69599
               487                 0           16.5398          0.695392
               488              0.08           16.5061          0.694785
               489              0.08           16.4725          0.694175
               490                 2           16.4429          0.693387
               491              2.88           16.4153          0.692524
               492              2.88           16.3878          0.691663
               493                 2           16.3586          0.690876
               494              1.28           16.3281          0.690151
               495              0.72           16.2966          0.689477
               496              0.08           16.2639          0.688861
               497              0.08           16.2313          0.688245
               498              0.08           16.1989          0.687626
               499              0.32           16.1671          0.686984
               500                 0           16.1347          0.686371
               501              0.32           16.1032          0.685726
               502              0.32           16.0717          0.685081
               503                 0           16.0398          0.684463
               504              0.08           16.0081          0.683837
               505                 2           15.9804          0.683046
               506                 2           15.9527          0.682254
               507              3.92            15.929          0.681321
               508              3.92           15.9054           0.68039
               509              2.88           15.8798          0.679534
               510              3.92           15.8563          0.678606
               511              0.72           15.8267          0.677925
               512              0.32           15.7964          0.677277
               513              0.32           15.7662          0.676628
               514              0.32           15.7362          0.675979
               515              1.28           15.7081          0.675249
               516                 8           15.6932          0.674105
               517              3.92           15.6704          0.673186
               518              0.08           15.6403          0.672559
               519              0.32           15.6108           0.67191
               520              0.08           15.5809          0.671282
               521              2.88           15.5565          0.670436
               522              6.48           15.5392          0.669377
               523                 8           15.5247          0.668252
               524              9.68           15.5136           0.66707
               525                 8           15.4993          0.665953
               526                 8            15.485          0.664839
               527              6.48           15.4679          0.663797
               528              3.92           15.4461            0.6629
               529              2.88           15.4223          0.662073
               530              3.92           15.4006          0.661179
               531              3.92            15.379          0.660287
               532              1.28           15.3525          0.659578
               533                 0           15.3237          0.658969
               534              0.32           15.2956          0.658334
               535              0.08           15.2671          0.657717
               536                 0           15.2387          0.657107
               537                 0           15.2103          0.656495
               538              0.32           15.1826          0.655858
               539              1.28           15.1568          0.655149
               540                 2           15.1324          0.654388
               541              5.12           15.1139           0.65344
               542                 2           15.0897          0.652683
               543              0.72           15.0633          0.652017
               544              0.08           15.0357            0.6514
               545              1.28           15.0105          0.650693
               546              5.12           14.9924          0.649754
               547              0.72           14.9663          0.649089
               548              5.12           14.9483          0.648154
               549                 2           14.9247          0.647402
               550              1.28           14.8999            0.6467
               551              9.68           14.8905          0.645596
               552                 8            14.878          0.644547
               553              6.48           14.8628           0.64356
               554              9.68           14.8534          0.642467
               555              6.48           14.8383          0.641486
               556              3.92           14.8187          0.640633
               557                 2           14.7957          0.639896
               558              2.88           14.7743          0.639105
               559                 2           14.7515           0.63837
               560              0.72           14.7264          0.637722
               561                 2           14.7037          0.636989
               562              3.92           14.6846          0.636144
               563                 2            14.662          0.635413
               564              1.28           14.6383          0.634729
               565              0.32            14.613          0.634112
               566              0.08           14.5873          0.633511
               567              0.72           14.5628          0.632866
               568                 0           14.5372           0.63227
               569              2.88           14.5167          0.631491
               570                 0           14.4912          0.630897
               571              0.72           14.4671          0.630252
               572                 2           14.4453          0.629527
               573                 8           14.4341          0.628529
               574              6.48           14.4202          0.627587
               575                 8            14.409          0.626595
               576             13.52           14.4075          0.625509
               577             20.48            14.418          0.624513
               578             23.12           14.4331          0.623614
               579              9.68           14.4249          0.622591
               580              6.48           14.4112          0.621669
               581              3.92           14.3931          0.620861
               582             11.52           14.3882          0.619814
               583             13.52           14.3867          0.618752
               584             13.52           14.3852          0.617694
               585                18           14.3914           0.61667
               586              9.68           14.3833           0.61567
               587             15.68           14.3856          0.614625
               588             20.48           14.3959          0.613667
               589             11.52            14.391          0.612644
               590             15.68           14.3932           0.61161
               591             23.12            14.408          0.610753
               592             20.48           14.4182          0.609808
               593             15.68           14.4204          0.608783
               594             11.52           14.4155          0.607778
               595             15.68           14.4176           0.60676
               596             13.52           14.4161          0.605744
               597             11.52           14.4113          0.604749
               598              9.68           14.4033          0.603789
               599             13.52           14.4019          0.602783
               600             11.52           14.3971          0.601797
               601             15.68           14.3992            0.6008
               602             11.52           14.3944          0.599821
               603                 8           14.3838           0.59892
               604              3.92           14.3665          0.598179
               605              5.12           14.3512          0.597385
               606              9.68           14.3435          0.596449
               607              9.68           14.3358          0.595516
               608              9.68           14.3282          0.594586
               609             11.52           14.3235          0.593627
               610                18           14.3296          0.592685
               611                18           14.3356          0.591745
               612             23.12           14.3499          0.590952
               613                18           14.3559          0.590018
               614                18           14.3618          0.589087
               615             23.12           14.3761          0.588301
               616             20.48            14.386           0.58743
               617             13.52           14.3846          0.586479
               618             15.68           14.3867          0.585534
               619             15.68           14.3888          0.584592
               620                 8           14.3785           0.58374
               621              5.12           14.3635           0.58299
               622              2.88           14.3451          0.582345
               623                 2           14.3253          0.581748
               624              0.08           14.3024          0.581263
               625              0.32           14.2801          0.580763
               626              0.72           14.2584          0.580239
               627              1.28           14.2377          0.579683
               628              0.72           14.2162           0.57916
               629              0.32           14.1941           0.57866
               630              0.08           14.1717          0.578175
               631              0.72           14.1504          0.577652
               632                 0            14.128          0.577171
               633              0.08           14.1058          0.576686
               634                 0           14.0835          0.576206
               635              0.72           14.0625          0.575682
               636              1.28           14.0424          0.575128
               637              0.08           14.0205          0.574643
               638              0.32            13.999          0.574143
               639                 2           13.9802          0.573551
               640                 2           13.9615          0.572961
               641              0.72           13.9408          0.572439
               642              5.12           13.9271          0.571712
               643              3.92           13.9115          0.571035
               644              0.32           13.8904          0.570538
               645              1.28           13.8709          0.569988
               646              0.32           13.8499          0.569492
               647                 2           13.8316          0.568906
               648                 2           13.8133          0.568321
               649              3.92           13.7981           0.56765
               650                 2           13.7799          0.567067
               651              1.28           13.7607          0.566521
               652              0.32           13.7401          0.566027
               653              0.72           13.7202          0.565511
               654              0.32           13.6997          0.565017
               655              0.32           13.6793          0.564524
               656              0.32           13.6589           0.56403
               657              1.28           13.6401          0.563487
               658              6.48           13.6292          0.562735
               659              2.88           13.6129          0.562118
               660              6.48           13.6021           0.56137
               661              2.88           13.5858          0.560755
               662                 2           13.5683          0.560181
               663              5.12           13.5556          0.559481
               664                 8           13.5472          0.558701
               665              3.92           13.5328          0.558048
               666              0.72           13.5135          0.557542
               667              1.28           13.4952          0.557008
               668              0.72            13.476          0.556502
               669                 2           13.4589          0.555934
               670              0.72           13.4399           0.55543
               671              2.88           13.4241          0.554825
               672              5.12           13.4118          0.554137
               673              3.92           13.3977          0.553493
               674              5.12           13.3854          0.552808
               675              6.48           13.3752          0.552084
               676              9.68           13.3697          0.551294
               677              3.92           13.3557          0.550656
               678              0.32           13.3365           0.55018
               679              1.28           13.3188          0.549656
               680                 2           13.3021          0.549099
               681              2.88           13.2868          0.548506
               682                 2           13.2703          0.547952
               683              1.28           13.2527          0.547431
               684              0.32           13.2338          0.546957
               685                 2           13.2174          0.546404
               686              0.32           13.1986          0.545931
               687              1.28           13.1813          0.545412
               688              3.92           13.1678          0.544785
               689              9.68           13.1627          0.544018
               690                 8           13.1552          0.543281
               691              9.68           13.1502          0.542518
               692              6.48           13.1406           0.54182
               693                 8           13.1332          0.541089
               694             11.52           13.1308          0.540314
               695              9.68           13.1259          0.539559
               696              9.68           13.1209          0.538807
               697             13.52           13.1215          0.538034
               698             25.92           13.1398          0.537576
               699                18           13.1468          0.536852
               700                18           13.1537          0.536129
               701             23.12           13.1679          0.535553
