# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        2.32       6.902        6.32    0.312075
        2.48       6.775      6.0235    0.168608
        2.64       4.237     6.69363    0.406229
         2.8       6.165     6.91988    0.582409
        2.96       5.313     5.09463    0.493103
        3.12        4.95     4.14588    0.309455
        3.28       5.898     3.28237    0.458346
        3.44         4.2     3.24425    0.315772
         3.6       1.032     2.42025    0.243547
        3.76       1.479     1.23813    0.125859
        3.92         3.4     1.98037    0.253949
        4.08       0.556       1.216    0.202556
        4.24       0.338     1.24537    0.365464
         4.4       0.879     0.90275    0.120642
        4.56        1.33     1.28375    0.300784
        4.72       0.847        0.81     0.13828
        4.88       0.501     1.16087    0.206769
        5.04       0.095      0.3445    0.107271
         5.2       0.088    0.178875   0.0554308
        5.36       0.733     0.25325   0.0796243
        5.52        0.32    0.142875   0.0464225
        5.68           0    0.090875   0.0617972
        5.84           0     0.05625   0.0498419
           6           0    0.066125   0.0406941
        6.16           0    0.010375   0.0069775
        6.32           0    0.001875  0.00130429
        6.48           0      0.0565   0.0508761
        6.64           0    0.020375   0.0151389
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0428889   0.0236604
        0.24       0.057       0.334   0.0799892
         0.4       0.067     1.06244     0.20181
        0.56        0.74     2.00011     0.35004
        0.72       2.561     2.70478    0.235181
        0.88       3.511     2.79689    0.385129
        1.04       5.724     4.01911    0.309471
         1.2       4.079     5.04178    0.379703
        1.36        3.22       5.819    0.568853
        1.52       4.353     5.12289    0.317173
        1.68       3.358     4.87433    0.531942
        1.84       6.584         5.7    0.481799
           2       6.622     6.36767    0.544983
        2.16       7.115     6.37667    0.403232
        2.32       9.565     6.68056    0.438756
        2.48       8.242        6.27    0.276538
        2.64       5.413     6.55133    0.385208
         2.8       8.188     7.06078    0.534469
        2.96       6.705     5.27356    0.469657
        3.12       4.532     4.18878    0.278029
        3.28       3.274     3.28144     0.40742
        3.44       1.908     3.09578    0.313655
         3.6       1.418     2.30889    0.240602
        3.76       1.795         1.3    0.126171
        3.92       2.599     2.04911     0.23485
        4.08       1.066     1.19933    0.180734
        4.24       1.874     1.31522    0.331464
         4.4       1.198    0.935556    0.111609
        4.56       0.967     1.24856    0.269415
        4.72       0.265    0.749444    0.135528
        4.88           0     1.03189    0.220385
        5.04           0    0.306222    0.101953
         5.2           0       0.159   0.0527147
        5.36           0    0.225111   0.0755859
        5.52        0.72       0.207   0.0731975
        5.68        0.28    0.111889   0.0583945
        5.84           0        0.05    0.044694
           6           0   0.0587778   0.0368299
        6.16           0  0.00922222  0.00629673
        6.32           0  0.00166667  0.00117589
        6.48           0   0.0502222   0.0456089
        6.64           0   0.0181111    0.013625
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0      0.0386   0.0216796
        0.24       0.348      0.3354   0.0720025
         0.4       0.422      0.9984    0.191521
        0.56       0.439       1.844    0.348111
        0.72       1.426      2.5769    0.243964
        0.88       4.248       2.942    0.372954
        1.04       2.708       3.888    0.305036
         1.2       3.507      4.8883    0.371458
        1.36       2.639       5.501    0.594241
        1.52       4.363      5.0469    0.294418
        1.68        7.33      5.1199    0.532421
        1.84       5.088      5.6388    0.437489
           2        6.51      6.3819    0.490671
        2.16       7.152      6.4542    0.370288
        2.32       8.973      6.9098    0.450808
        2.48       8.237      6.4667    0.311071
        2.64       8.515      6.7477    0.393568
         2.8       6.361      6.9908    0.485582
        2.96        5.94      5.3402    0.427394
        3.12        4.53      4.2229    0.252311
        3.28       3.675      3.3208    0.368574
        3.44       2.311      3.0173    0.291942
         3.6       3.845      2.4625    0.261012
        3.76       2.252      1.3952     0.14509
        3.92        2.09      2.0532    0.211401
        4.08       2.212      1.3006    0.188913
        4.24       0.866      1.2703    0.301347
         4.4       0.328      0.8748     0.11581
        4.56       0.405      1.1642    0.255338
        4.72       0.101      0.6846     0.13661
        4.88        0.07      0.9357    0.218331
        5.04       0.074       0.283   0.0943654
         5.2        0.07      0.1501   0.0481887
        5.36       0.303      0.2329   0.0684274
        5.52       0.662      0.2525   0.0787598
        5.68           0      0.1007   0.0536162
        5.84           0       0.045   0.0405033
           6           0      0.0529   0.0336126
        6.16           0      0.0083   0.0057342
        6.32           0      0.0015  0.00107005
        6.48           0      0.0452   0.0413236
        6.64           0      0.0163   0.0123823
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0350909   0.0199907
        0.24       0.903       0.387   0.0818847
         0.4       0.256    0.930909    0.185622
        0.56       0.192     1.69382    0.347353
        0.72       0.999     2.43345    0.260566
        0.88       2.815     2.93045    0.339227
        1.04       2.354     3.74855    0.307535
         1.2       3.452     4.75773    0.359907
        1.36       4.333     5.39482    0.549624
        1.52       5.302     5.07009    0.268565
        1.68       5.627       5.166    0.486011
        1.84       5.402     5.61727    0.398247
           2       7.205     6.45673    0.451734
        2.16       6.697     6.47627    0.337283
        2.32      10.692     7.25364    0.524817
        2.48       6.327       6.454    0.283051
        2.64        9.04     6.95609    0.409258
         2.8       5.979     6.89882    0.450066
        2.96       6.464     5.44236    0.400564
        3.12       4.388     4.23791     0.22982
        3.28       4.117     3.39318    0.342101
        3.44        4.18       3.123    0.283893
         3.6       2.154     2.43445    0.238786
        3.76       1.624       1.416    0.133383
        3.92        2.59       2.102    0.197735
        4.08       1.155     1.28736    0.172202
        4.24       1.476       1.289    0.274531
         4.4       0.879    0.875182    0.105282
        4.56       0.595     1.11245    0.237311
        4.72       0.477    0.665727    0.125487
        4.88       0.004       0.851    0.214283
        5.04       0.006    0.257818   0.0890833
         5.2       0.316    0.165182   0.0461076
        5.36           0    0.211727   0.0654004
        5.52           0    0.229545   0.0748702
        5.68           0   0.0915455   0.0495174
        5.84           0   0.0409091   0.0370272
           6           0   0.0480909   0.0308991
        6.16           0  0.00754545  0.00526232
        6.32           0  0.00136364  0.00098142
        6.48           0   0.0410909   0.0377706
        6.64           0   0.0148182   0.0113449
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0321667   0.0185374
        0.24       1.103    0.446667    0.094327
         0.4       0.668       0.909    0.171441
        0.56        1.92     1.71267    0.318918
        0.72       2.412     2.43167    0.238859
        0.88       2.272     2.87558    0.315365
        1.04       2.204     3.61983    0.307665
         1.2       2.934     4.60575    0.360578
        1.36       2.978     5.19342    0.539462
        1.52       4.384     5.01292    0.252197
        1.68       6.517     5.27858    0.458365
        1.84       5.472     5.60517    0.365243
           2       7.191     6.51792    0.418213
        2.16       7.459     6.55817    0.318963
        2.32       7.404     7.26617    0.481232
        2.48      10.205     6.76658     0.39609
        2.64       6.439       6.913    0.377415
         2.8       6.103      6.8325    0.417418
        2.96       5.654        5.46    0.367572
        3.12        4.31     4.24392    0.210747
        3.28       4.604     3.49408    0.328135
        3.44       2.877      3.1025    0.260974
         3.6         2.2     2.41492    0.219685
        3.76       2.868       1.537    0.168435
        3.92        0.99     2.00933    0.201806
        4.08       1.008     1.26408    0.159418
        4.24       2.122     1.35842    0.260282
         4.4        2.07     0.97475    0.135653
        4.56       1.094     1.11092     0.21754
        4.72       0.097    0.618333    0.123657
        4.88       0.021    0.781833    0.207289
        5.04       0.186    0.251833   0.0818605
         5.2       0.067       0.157   0.0429851
        5.36       0.128     0.20475   0.0603214
        5.52       0.039    0.213667   0.0702947
        5.68           0   0.0839167   0.0459749
        5.84           0      0.0375   0.0340982
           6           0   0.0440833   0.0285828
        6.16           0  0.00691667  0.00486121
        6.32           0     0.00125  0.00090619
        6.48           0   0.0376667   0.0347779
        6.64           0   0.0135833   0.0104665
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0296923   0.0172758
        0.24           1    0.489231   0.0961962
         0.4           0    0.839077    0.171922
        0.56       2.669     1.78623    0.302751
        0.72       1.652     2.37169     0.22789
        0.88       2.282     2.82992    0.294393
        1.04        2.35     3.52215    0.299103
         1.2       2.629     4.45369    0.363491
        1.36       5.657     5.22908    0.499142
        1.52       5.511     5.05123    0.235689
        1.68       6.294     5.35669    0.429709
        1.84       5.769     5.61777    0.337365
           2       6.726     6.53392    0.386349
        2.16       8.607     6.71577    0.331082
        2.32       5.472     7.12815    0.463582
        2.48       9.157     6.95046    0.406066
        2.64       7.623     6.96762    0.352312
         2.8        6.76     6.82692    0.385346
        2.96       3.372     5.29938    0.372741
        3.12       4.582     4.26992    0.196134
        3.28        3.45     3.49069    0.302912
        3.44       3.507     3.13362    0.242747
         3.6       2.634     2.43177    0.203431
        3.76        1.55       1.538    0.155481
        3.92       0.996     1.93138    0.200773
        4.08       2.884     1.38869    0.189704
        4.24       1.873       1.398    0.243251
         4.4       0.882    0.967615    0.125405
        4.56       0.179     1.03923    0.212289
        4.72       0.496    0.608923    0.114502
        4.88       0.239    0.740077    0.195504
        5.04       0.599    0.278538   0.0798007
         5.2       0.338    0.170923   0.0418728
        5.36       0.107    0.197231    0.056148
        5.52       0.005    0.197615   0.0666948
        5.68       0.005   0.0778462   0.0428372
        5.84       0.007   0.0351538   0.0315559
           6       0.008   0.0413077   0.0265186
        6.16       0.016  0.00761538  0.00453721
        6.32       0.113  0.00984615  0.00830117
        6.48           0   0.0347692   0.0322232
        6.64           0   0.0125385  0.00971342
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0275714   0.0161715
        0.24       1.064    0.530286   0.0976938
         0.4       0.605    0.822357    0.160453
        0.56        1.01     1.73079    0.286158
        0.72        1.04     2.27657    0.230611
        0.88         1.5     2.73493    0.288284
        1.04       1.721      3.3935    0.304152
         1.2       2.994     4.34943    0.352164
        1.36       4.984     5.21157    0.463796
        1.52       5.269     5.06679    0.219367
        1.68       6.715     5.45371    0.409823
        1.84       8.525     5.82543    0.371724
           2       8.911     6.70371    0.394301
        2.16       7.649     6.78243    0.314072
        2.32       6.238     7.06457    0.434808
        2.48       6.668     6.93029    0.377562
        2.64       8.943     7.10871    0.354277
         2.8       5.301     6.71793    0.372917
        2.96       5.382     5.30529    0.346163
        3.12       4.468     4.28407    0.182634
        3.28       3.852      3.5165    0.282372
        3.44       2.775       3.108    0.226755
         3.6       1.855     2.39057    0.193027
        3.76       2.187     1.58436    0.151128
        3.92       1.927     1.93107    0.186432
        4.08        1.26      1.3795    0.176376
        4.24       1.252     1.38757      0.2261
         4.4       0.578    0.939786    0.119496
        4.56       0.298    0.986286    0.203621
        4.72       0.255    0.583643    0.109078
        4.88        0.99    0.757929    0.182352
        5.04       1.534    0.368214    0.113834
         5.2        0.25    0.176571    0.039261
        5.36           0    0.183143   0.0538758
        5.52           0      0.1835    0.063407
        5.68           0   0.0722857   0.0401367
        5.84           0   0.0326429   0.0294016
           6           0   0.0383571    0.024788
        6.16           0  0.00707143   0.0042456
        6.32           0  0.00914286  0.00773796
        6.48           0   0.0322857   0.0300171
        6.64           0   0.0116429   0.0090608
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0257333   0.0151975
        0.24        0.07      0.4996   0.0958791
         0.4       0.153    0.777733    0.155838
        0.56       1.156     1.69247    0.269634
        0.72       0.489      2.1574    0.244094
        0.88       1.779      2.6712    0.276019
        1.04        2.05     3.30393     0.29677
         1.2       2.112     4.20027    0.358888
        1.36       3.636     5.10653    0.444611
        1.52       5.972     5.12713    0.212882
        1.68       7.724     5.60507    0.409497
        1.84       7.243     5.91993    0.358755
           2       9.508     6.89067    0.409946
        2.16       8.951       6.927    0.324708
        2.32       9.073     7.19847    0.425938
        2.48       9.521       7.103    0.389899
        2.64       5.613       7.009    0.344405
         2.8       6.014       6.671    0.350996
        2.96        5.74     5.33427    0.324296
        3.12        2.83     4.18713     0.19449
        3.28       3.347      3.5052    0.263774
        3.44       3.298     3.12067    0.211992
         3.6       2.288     2.38373    0.180279
        3.76       2.134       1.621    0.145428
        3.92       1.815     1.92333    0.174164
        4.08       1.492       1.387    0.164777
        4.24       0.434       1.324    0.219782
         4.4       0.553       0.914    0.114278
        4.56       0.521    0.955267    0.192394
        4.72       0.775      0.5964     0.10255
        4.88       0.724    0.755667     0.17021
        5.04       0.366    0.368067    0.106245
         5.2       0.326    0.186533   0.0378864
        5.36       0.293    0.190467   0.0507794
        5.52           0    0.171267   0.0603484
        5.68           0   0.0674667   0.0377491
        5.84           0   0.0304667   0.0275219
           6           0      0.0358    0.023267
        6.16           0      0.0066  0.00398865
        6.32           0  0.00853333  0.00724607
        6.48           0   0.0301333    0.028093
        6.64           0   0.0108667  0.00848992
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0    0.024125   0.0143325
        0.24           0    0.468375    0.094835
         0.4       0.017    0.730187     0.15318
