# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        0.08        0.02  0.00777778  0.00539267
        0.24         1.6        0.36    0.179945
         0.4         2.5    0.787778    0.295191
        0.56        1.79    0.786667    0.232406
        0.72        1.36    0.968889    0.248086
        0.88        2.73     1.55333    0.355986
        1.04        1.39     1.55667    0.373095
         1.2        6.37        2.79    0.685288
        1.36        7.47     3.90111    0.835048
        1.52        4.38     4.33889    0.875387
        1.68        5.84     5.41333    0.847087
        1.84        9.59     7.30778     1.03122
           2        7.12     7.82333    0.862129
        2.16        7.14        7.02    0.469478
        2.32        7.52     11.1489     2.88883
        2.48        5.12     10.2722     2.02823
        2.64         3.8     11.1411      2.8888
         2.8        5.35        7.24    0.984747
        2.96        5.56     5.33222    0.800211
        3.12        3.44     5.42222     1.08894
        3.28        4.96     4.57111    0.888749
        3.44         5.2     2.42556    0.572232
         3.6        3.39        1.47    0.438395
        3.76        1.65        1.21    0.338289
        3.92        0.82        0.96    0.255628
        4.08        0.94    0.614444     0.18887
        4.24        0.38    0.594444    0.188975
         4.4        0.08    0.417778    0.190365
        4.56        0.08    0.116667   0.0415443
        4.72        0.09    0.156667    0.110944
        4.88        0.14   0.0855556   0.0418732
        5.04        0.18    0.122222   0.0674542
         5.2           0   0.0311111   0.0194647
        5.36           0   0.0522222   0.0492356
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08        0.72       0.079   0.0677414
        0.24        1.26        0.45    0.183079
         0.4        2.94       1.003    0.335067
        0.56        0.49       0.757     0.21105
        0.72        0.78        0.95    0.223996
        0.88        3.69       1.767    0.379125
        1.04        4.42       1.843    0.431903
         1.2        4.41       2.952    0.635619
        1.36        6.84       4.195    0.801592
        1.52        7.03       4.608    0.828181
        1.68        8.29       5.701    0.809751
        1.84         6.7       7.247    0.929888
           2        5.45       7.586    0.807924
        2.16        6.42        6.96    0.426347
        2.32        8.55      10.889     2.61161
        2.48        4.82       9.727     1.89727
        2.64        3.98      10.425     2.68722
         2.8        6.55       7.171    0.888686
        2.96        6.09       5.408    0.723769
        3.12        2.16       5.096     1.02775
        3.28        3.68       4.482    0.804329
        3.44        4.76       2.659    0.560608
         3.6        3.87        1.71    0.455537
        3.76        1.11         1.2    0.304608
        3.92        1.52       1.016    0.236119
        4.08        0.74       0.627      0.1704
        4.24        0.06       0.541    0.177474
         4.4        0.07       0.383    0.174477
        4.56        0.43       0.148   0.0477661
        4.72        0.17       0.158   0.0998579
        4.88           0       0.077     0.03855
        5.04           0        0.11   0.0618061
         5.2           0       0.028   0.0177651
        5.36           0       0.047   0.0445881
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08        0.62    0.128182   0.0774044
        0.24        0.86    0.487273    0.170188
         0.4        2.05     1.09818    0.317838
        0.56        1.48    0.822727    0.201839
        0.72        1.91     1.03727    0.219978
        0.88        4.42     2.00818    0.414332
        1.04        6.64     2.27909    0.571885
         1.2        2.76     2.93455    0.578075
        1.36        7.06     4.45545    0.769872
        1.52        5.83     4.71909    0.760306
        1.68        7.23        5.84    0.747972
        1.84        6.76     7.20273    0.846406
           2        6.23     7.46273    0.743821
        2.16        2.79     6.58091    0.529972
        2.32        7.66     10.5955     2.39063
        2.48         9.8     9.73364     1.72481
        2.64        5.16     9.94636     2.48519
         2.8        5.18        6.99    0.826123
        2.96         5.8     5.44364    0.658849
        3.12        2.52     4.86182     0.96063
        3.28        5.47     4.57182    0.736206
        3.44        2.58     2.65182    0.509689
         3.6        2.66     1.79636    0.422232
        3.76        2.62     1.32909    0.303038
        3.92        0.84           1    0.215195
        4.08        0.07    0.576364    0.162258
        4.24           0    0.491818    0.168016
         4.4        0.71    0.412727    0.161128
        4.56        0.29    0.160909   0.0451344
        4.72           0    0.143636   0.0918071
        4.88           0        0.07   0.0356753
        5.04           0         0.1   0.0569906
         5.2           0   0.0254545   0.0163315
        5.36           0   0.0427273   0.0407389
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0      0.1175   0.0716873
        0.24        1.55    0.575833    0.177559
         0.4        0.95     1.08583    0.291592
        0.56        2.52    0.964167    0.229282
        0.72        1.46      1.0725    0.204448
        0.88        2.08     2.01417    0.379847
        1.04        7.85     2.74333    0.687296
         1.2        5.03     3.10917    0.555651
        1.36        6.76      4.6475    0.729276
        1.52        7.25        4.93    0.725611
        1.68        5.04     5.77333    0.688606
        1.84        8.14     7.28083    0.779468
           2        6.08      7.3475    0.690703
        2.16        3.99       6.365    0.527959
        2.32        6.97     10.2933     2.21042
        2.48         7.8      9.5725     1.58858
        2.64         6.1     9.62583     2.29866
         2.8        7.92      7.0675    0.760906
        2.96        3.35     5.26917     0.62662
        3.12        3.93     4.78417     0.88371
        3.28         3.2      4.4575    0.683674
        3.44        3.83        2.75    0.476578
         3.6        2.22     1.83167    0.388519
        3.76        2.81      1.4525    0.301869
        3.92        0.17    0.930833    0.208081
        4.08           0    0.528333    0.155683
        4.24           0    0.450833    0.158935
         4.4           1    0.461667    0.154954
        4.56           0      0.1475   0.0433193
        4.72           0    0.131667   0.0849333
        4.88           0   0.0641667   0.0331758
        5.04           0   0.0916667   0.0528472
         5.2           0   0.0233333   0.0151076
        5.36           0   0.0391667   0.0374992
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0    0.108462   0.0667402
        0.24        0.38    0.560769    0.164538
         0.4        1.24     1.09769    0.269402
        0.56        1.43           1    0.214426
        0.72        1.95        1.14    0.199553
        0.88        1.25     1.95538    0.355147
        1.04        8.56     3.19077    0.766353
         1.2        5.17     3.26769    0.535044
        1.36        6.24        4.77    0.683389
        1.52        6.89     5.08077    0.685279
        1.68        7.92     5.93846    0.655136
        1.84        7.39     7.28923    0.719554
           2         3.2     7.02846    0.707428
        2.16        7.73        6.47    0.497679
        2.32        8.52     10.1569     2.04459
        2.48         7.4     9.40538     1.47515
        2.64        6.37     9.37538     2.13544
         2.8        7.83     7.12615    0.704632
        2.96        5.36     5.27615    0.578457
        3.12        3.97     4.72154    0.817949
        3.28        1.82     4.25462    0.660502
        3.44         2.7     2.74615    0.439933
         3.6        2.62     1.89231    0.363335
        3.76        0.33     1.36615    0.290736
        3.92        0.73    0.915385    0.192648
        4.08           0    0.487692    0.148918
        4.24        0.68    0.468462    0.147684
         4.4        0.32    0.450769    0.143418
        4.56           0    0.136154   0.0414463
        4.72           0    0.121538   0.0790015
        4.88           0   0.0592308   0.0309889
        5.04           0   0.0846154   0.0492502
         5.2           0   0.0215385   0.0140517
        5.36           0   0.0361538   0.0347355
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0    0.100714   0.0624211
        0.24           0    0.520714    0.157585
         0.4        1.79     1.14714    0.254657
        0.56        0.93       0.995    0.199169
        0.72        1.69     1.17929    0.189127
        0.88        3.52     2.06714    0.346919
        1.04        5.93     3.38643    0.736167
         1.2        2.61     3.22071    0.498885
        1.36        6.65     4.90429    0.647634
        1.52       10.26     5.45071    0.729384
        1.68        5.01     5.87214    0.611688
        1.84        4.74     7.10714    0.690812
           2        7.59     7.06857    0.658033
        2.16           9     6.65071    0.493851
        2.32        9.28     10.0943     1.89951
        2.48        5.26     9.10929     1.39918
        2.64        7.41       9.235     1.98752
         2.8       13.42     7.57571    0.784715
        2.96        2.95        5.11    0.560494
        3.12        2.19     4.54071    0.779255
        3.28        0.94     4.01786    0.654382
        3.44        1.34     2.64571    0.419819
         3.6        3.27     1.99071    0.350455
        3.76        0.41     1.29786    0.277875
        3.92        0.69    0.899286    0.179559
        4.08        0.12    0.461429    0.140578
        4.24           1    0.506429    0.141931
         4.4           0    0.418571     0.13674
        4.56           0    0.126429   0.0396104
        4.72           0    0.112857    0.073834
        4.88           0       0.055   0.0290627
        5.04           0   0.0785714   0.0461017
         5.2           0        0.02    0.013132
        5.36           0   0.0335714   0.0323502
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0       0.094   0.0586197
        0.24        0.61    0.526667    0.147192
         0.4        1.39     1.16333    0.238194
        0.56        0.47        0.96    0.188941
        0.72        1.53     1.20267    0.177957
        0.88        2.63     2.10467    0.325814
        1.04        4.78     3.47933    0.692926
         1.2        5.69     3.38533    0.492037
        1.36        5.33     4.93267     0.60508
        1.52         7.4     5.58067    0.692238
        1.68        7.79           6    0.584119
        1.84       11.08       7.372    0.693676
           2        6.19        7.01    0.616766
        2.16        6.97       6.672    0.461387
        2.32        7.97     9.95267     1.77815
        2.48        9.75       9.152     1.30655
        2.64        9.15     9.22933     1.85503
         2.8        6.37     7.49533    0.736506
        2.96        2.57     4.94067     0.54811
        3.12         2.9     4.43133    0.734941
        3.28        1.76     3.86733     0.62783
        3.44        1.32     2.55733    0.401026
         3.6        2.35     2.01467    0.327909
        3.76           0     1.21133    0.272488
        3.92        0.26    0.856667    0.172572
        4.08        0.74        0.48    0.132427
        4.24           1    0.539333     0.13623
         4.4           0    0.390667     0.13044
        4.56           0       0.118   0.0378559
        4.72           0    0.105333    0.069294
        4.88           0   0.0513333   0.0273555
        5.04           0   0.0733333   0.0433248
         5.2           0   0.0186667    0.012324
        5.36           0   0.0313333   0.0302709
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0    0.088125   0.0552496
        0.24           0     0.49375    0.141625
         0.4        1.61     1.19125    0.224937
        0.56        0.84      0.9525    0.177281
        0.72        1.55     1.22437    0.168154
        0.88        3.65     2.20125    0.319445
        1.04        4.79     3.56125    0.654443
         1.2        7.04     3.61375    0.511563
        1.36        6.55     5.03375    0.575644
        1.52        6.94     5.66563    0.654166
        1.68        5.13     5.94563    0.550136
        1.84       10.42      7.5625    0.675973
           2        7.46     7.03812    0.578859
        2.16        7.04       6.695    0.433123
        2.32        7.37     9.79125     1.67432
        2.48        9.71     9.18688     1.22536
        2.64        8.52       9.185     1.73962
         2.8        5.61      7.3775    0.699837
        2.96        4.47     4.91125    0.514642
        3.12        3.02     4.34312    0.694281
        3.28        1.28     3.70563     0.60906
        3.44           1        2.46    0.387594
         3.6           2     2.01375    0.307416
        3.76        0.36     1.15812    0.260601
        3.92        0.64    0.843125    0.162317
        4.08           0        0.45    0.127503
        4.24           1    0.568125    0.130723
         4.4           0     0.36625    0.124552
        4.56           0    0.110625   0.0362011
        4.72           0     0.09875   0.0652751
        4.88           0    0.048125   0.0258333
        5.04           0     0.06875   0.0408587
         5.2           0      0.0175   0.0116089
        5.36           0    0.029375   0.0284422
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0829412   0.0522422
        0.24           0    0.464706     0.13624
         0.4        1.28     1.19647    0.211766
        0.56        1.91     1.00882    0.175572
        0.72        2.61     1.30588    0.176917
        0.88        3.82     2.29647    0.314526
        1.04        4.54     3.61882    0.618473
         1.2        6.73     3.79706    0.513264
        1.36        6.41     5.11471    0.547446
        1.52        7.52     5.77471    0.624714
        1.68        3.18     5.78294    0.541295
        1.84        7.66     7.56824    0.636234
           2        9.77     7.19882    0.566675
        2.16        8.95     6.82765    0.427475
        2.32        10.1     9.80941     1.57593
        2.48        6.08     9.00412     1.16683
        2.64        8.29     9.13235     1.63808
         2.8        6.95     7.35235    0.659122
        2.96        3.94     4.85412     0.48753
        3.12        2.26     4.22059    0.664166
        3.28           1     3.54647    0.593663
        3.44           1     2.37412    0.374188
         3.6        2.13     2.02059    0.289409
        3.76        0.87     1.14118    0.245822
        3.92           0    0.793529    0.160166
        4.08           0    0.423529     0.12272
        4.24           1    0.593529    0.125477
         4.4           0    0.344706    0.119074
        4.56           0    0.104118   0.0346516
        4.72           0   0.0929412   0.0616933
        4.88           0   0.0452941   0.0244683
        5.04           0   0.0647059   0.0386549
         5.2           0   0.0164706   0.0109715
        5.36           0   0.0276471   0.0268216
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0   0.0783333   0.0495427
        0.24        1.59    0.527222    0.142293
         0.4        0.41     1.15278    0.204459
        0.56        1.98     1.06278    0.173911
        0.72        2.19       1.355    0.173773
        0.88        4.69     2.42944    0.323944
        1.04        6.08     3.75556    0.599037
         1.2        2.57     3.72889    0.489255
        1.36        8.04     5.27722    0.540617
        1.52        7.67        5.88    0.598815
        1.68        5.66     5.77611    0.511266
        1.84        9.74     7.68889    0.612221
           2        9.55     7.32944    0.550042
        2.16       10.12     7.01056    0.441125
        2.32         6.5     9.62556     1.49907
        2.48        4.47     8.75222     1.12887
        2.64        7.84     9.06056     1.54865
         2.8        4.15     7.17444    0.646068
        2.96        5.56     4.89333    0.462019
        3.12        2.28     4.11278    0.635958
        3.28        1.69     3.44333     0.56957
        3.44        1.74     2.33889    0.355054
         3.6        1.48     1.99056    0.274884
        3.76           1     1.13333     0.23229
        3.92           0    0.749444    0.157218
        4.08           0         0.4    0.118136
        4.24           1    0.616111    0.120521
         4.4           0    0.325556    0.113988
        4.56           0   0.0983333   0.0332058
        4.72           0   0.0877778   0.0584816
        4.88           0   0.0427778    0.023238
        5.04           0   0.0611111   0.0366741
         5.2           0   0.0155556   0.0104001
        5.36           0   0.0261111   0.0253754
        5.52           0           0           0
        5.68           0           0           0
