# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737                 0              0.09         0.0471699
          0.923387              4.16             2.065          0.648744
          0.949037             13.22               9.7           1.10686
          0.974686             28.62            30.505           1.05372
           1.00034             45.64             52.42           2.59574
           1.02599             75.08             71.84           1.07079
           1.05164             88.42             82.24           3.28369
           1.07728             86.52            82.545           2.03009
           1.10293              95.2            83.715           4.26922
           1.12858             73.14             74.88           1.74733
           1.15423             64.86            71.945           3.23957
           1.17988             64.36            71.085           3.10111
           1.20553             66.24             68.76           1.87759
           1.23118             63.64            65.935           1.66624
           1.25683             48.94             57.45            2.8956
           1.28248             53.92             55.47           2.09774
           1.30813             45.94             48.87           2.17337
           1.33378              50.3             48.82          0.441078
           1.35943             44.18            48.985           2.61741
           1.38508              46.3             50.35           2.28942
           1.41073             53.36              49.7           2.19246
           1.43638             38.06             44.81           3.76986
           1.46203             51.62            48.505           1.94556
           1.48768             50.12            44.495           2.05635
           1.51333             47.24             46.55          0.684306
           1.53898             45.76            44.805          0.519729
           1.56463             49.08            43.765           2.01111
           1.59028             48.88            44.015           2.65414
           1.61593             61.44            49.015           3.65764
           1.64158             56.18            50.115           2.30184
           1.66723             67.12              57.2           3.62041
           1.69288             65.26            62.545           1.95152
           1.71853             62.58            63.735           3.29903
           1.74418             60.48             64.19           2.31138
           1.76983             69.46            68.565           1.39437
           1.79547             71.54            73.535           1.18132
           1.82112             80.02             84.01           2.05359
           1.84677             84.66             85.97           2.04761
           1.87242              90.9             95.63             3.696
           1.89807            100.96            100.11           2.88912
           1.92372            102.38            106.29           3.36369
           1.94937            114.24           114.295           2.50069
           1.97502             115.6            127.94           3.69555
           2.00067             127.9           134.405           3.60116
           2.02632            152.14           142.705            3.4242
           2.05197            140.48           144.795           8.20847
           2.07762            161.34            156.03           3.13044
           2.10327            169.12            159.98           3.39167
           2.12892            147.22            154.21            3.3782
           2.15457            158.84            152.64           2.24866
           2.18022            156.86           161.465           4.11959
           2.20587            139.32           160.045           6.66384
           2.23152            160.98            169.58           5.60545
           2.25717               169           171.195           3.69504
           2.28282            152.28            160.54           3.09634
           2.30847               155           163.815           6.09449
           2.33412            167.56           154.175            4.2106
           2.35977            168.76           154.385           5.18798
           2.38542            153.78            148.06           3.54116
           2.41107             154.6           149.865           2.33092
           2.43672            153.44            148.06           2.70339
           2.46237            149.14            143.13           2.40398
           2.48802            154.88            155.44           1.06618
           2.51366            160.86           162.105          0.960791
           2.53931             168.8           165.275           1.80314
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737              0.46             0.164         0.0761892
          0.923387              4.16             2.484           0.64016
          0.949037              10.4              9.84          0.894302
          0.974686             27.28             29.86           1.02148
           1.00034             57.46            53.428           2.26386
           1.02599             80.22            73.516           1.72656
           1.05164             78.16            81.424           2.72646
           1.07728             85.96            83.228           1.73517
           1.10293             88.94             84.76           3.54096
           1.12858             79.32            75.768           1.60775
           1.15423             73.92             72.34           2.61563
           1.17988             66.48            70.164           2.61408
           1.20553             58.02            66.612           2.43872
           1.23118             54.46             63.64           2.44755
           1.25683              61.2              58.2           2.41166
           1.28248              52.8            54.936           1.74484
           1.30813              48.5            48.796           1.73995
           1.33378             45.66            48.188          0.666372
           1.35943             40.72            47.332           2.56329
           1.38508             39.22            48.124           2.70529
           1.41073              44.1             48.58           2.01989
           1.43638              57.5            47.348           3.77475
           1.46203              50.2            48.844           1.58571
           1.48768             48.14            45.224           1.76959
           1.51333             44.02            46.044          0.710299
           1.53898             46.96            45.236          0.566996
           1.56463             44.54             43.92           1.61485
           1.59028             43.26            43.864            2.1276
           1.61593             59.68            51.148           3.49312
           1.64158              55.5            51.192           2.07821
           1.66723             57.46            57.252            2.8967
           1.69288             60.32              62.1           1.61115
           1.71853             66.58            64.304           2.68785
           1.74418             66.16            64.584           1.88238
           1.76983             74.62            69.776           1.55485
           1.79547             77.68            74.364           1.20122
           1.82112             95.44            86.296           2.62291
           1.84677             93.42             87.46           2.11173
           1.87242             102.7            97.044           3.21593
           1.89807            102.22           100.532           2.34191
           1.92372            111.96           107.424           2.87576
           1.94937            114.38           114.312           2.00061
           1.97502            111.82           124.716           4.12988
